Date	WorkingDaysIndices	ReverseWorkingDaysIndices	MondayMonthInd	TuesdayMonthInd	WednesdayMonthInd	ThursdayMonthInd	FridayMonthInd	BeforeLastMonday	LastMonday	BeforeLastTuesday	LastTuesday	BeforeLastWednesday	LastWednesday	BeforeLastThursday	LastThursday	BeforeLastFriday	LastFriday	Last5WDaysInd	Last5WDays	Last4WDaysInd	Last4WDays	LastWMonth	BeforeLastWMonth	Cash
2001-02-16	11	8	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	8888.033267
2001-02-19	12	7	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	24659.17862
2001-02-20	13	6	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	8035.321544
2001-02-21	14	5	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	3555.266044
2001-02-22	15	4	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	4527.404398
2001-02-23	16	3	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	2	1	1	1	1	0	3636.957333
2001-02-26	17	2	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	1	2	1	0	0	4560.11971
2001-02-27	18	1	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	4	1	3	1	0	0	2724.246929
2001-02-28	19	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	5	1	4	1	0	0	3200.328713
2001-03-01	0	21	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2626.667036
2001-03-02	1	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3567.310247
2001-03-05	2	19	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3824.100856
2001-03-06	3	18	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3858.335253
2001-03-07	4	17	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3553.034098
2001-03-08	5	16	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5616.9297
2001-03-09	6	15	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2350.177112
2001-03-12	7	14	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3166.44653
2001-03-13	8	13	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1631.396198
2001-03-14	9	12	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4942.033705
2001-03-15	10	11	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2675.487207
2001-03-16	11	10	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7277.998094
2001-03-19	12	9	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	21151.42591
2001-03-20	13	8	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	6031.25785
2001-03-21	14	7	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	5163.351915
2001-03-22	15	6	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	4160.017653
2001-03-23	16	5	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2522.814407
2001-03-26	17	4	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	2722.600131
2001-03-27	18	3	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	1	1	1	0	4205.911556
2001-03-28	19	2	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	3	1	2	1	1	0	3888.010472
2001-03-29	20	1	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	4	1	3	1	1	0	2834.369778
2001-03-30	21	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	5	1	4	1	1	0	3401.035322
2001-04-02	0	19	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3698.391229
2001-04-03	1	18	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4040.456377
2001-04-04	2	17	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3684.587492
2001-04-05	3	16	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2808.161192
2001-04-06	4	15	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5108.255971
2001-04-09	5	14	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3944.99811
2001-04-10	6	13	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3593.695823
2001-04-11	7	12	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4211.17732
2001-04-12	8	11	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4229.765236
2001-04-13	9	10	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2984.335523
2001-04-17	10	9	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2740.164397
2001-04-18	11	8	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	4413.379541
2001-04-19	12	7	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2496.627497
2001-04-20	13	6	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	6293.439638
2001-04-23	14	5	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	20794.20903
2001-04-24	15	4	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	8096.140508
2001-04-25	16	3	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	2	1	1	1	1	0	5288.200281
2001-04-26	17	2	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	3	1	2	1	1	0	4651.501747
2001-04-27	18	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	4	1	3	1	1	0	4530.911581
2001-04-30	19	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	1	4	1	0	0	3542.446806
2001-05-02	0	19	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3446.258845
2001-05-03	1	18	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3815.18065
2001-05-04	2	17	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3415.447646
2001-05-07	3	16	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2561.770763
2001-05-09	4	15	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1963.631112
2001-05-10	5	14	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4110.681912
2001-05-11	6	13	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3790.666543
2001-05-14	7	12	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3931.654638
2001-05-15	8	11	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3595.431066
2001-05-16	9	10	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2569.01562
2001-05-17	10	9	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4438.332145
2001-05-18	11	8	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5110.127867
2001-05-21	12	7	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	16471.97312
2001-05-22	13	6	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	6833.15807
2001-05-23	14	5	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	3057.812545
2001-05-25	15	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	3037.539715
2001-05-28	16	3	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	1	1	1	0	2979.509244
2001-05-29	17	2	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	3	1	2	1	1	0	4114.178503
2001-05-30	18	1	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	4	1	3	1	1	0	3837.196734
2001-05-31	19	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	5	1	4	1	1	0	2911.884261
2001-06-01	0	19	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4493.493487
2001-06-05	1	18	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1962.753563
2001-06-06	2	17	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3873.862314
2001-06-07	3	16	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3325.249851
2001-06-08	4	15	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3458.229878
2001-06-11	5	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2886.284926
2001-06-12	6	13	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2975.612237
2001-06-13	7	12	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4134.402358
2001-06-14	8	11	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4099.808299
2001-06-15	9	10	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3817.423011
2001-06-18	10	9	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4015.692838
2001-06-19	11	8	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	4795.982285
2001-06-20	12	7	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	3704.956316
2001-06-21	13	6	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	3947.501554
2001-06-22	14	5	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	6947.614282
2001-06-25	15	4	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	17913.63757
2001-06-26	16	3	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	1	1	1	0	6286.423688
2001-06-27	17	2	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	3	1	2	1	1	0	3600.758051
2001-06-28	18	1	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	4	1	3	1	1	0	4431.216428
2001-06-29	19	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	5	1	4	1	1	0	3373.088134
2001-07-02	0	21	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2858.587001
2001-07-03	1	20	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4398.819597
2001-07-04	2	19	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3037.213914
2001-07-05	3	18	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3966.750527
2001-07-06	4	17	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3984.817004
2001-07-09	5	16	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3281.224363
2001-07-10	6	15	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3187.384133
2001-07-11	7	14	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2432.321498
2001-07-12	8	13	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5216.12509
2001-07-13	9	12	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7210.637013
2001-07-16	10	11	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	19191.24867
2001-07-17	11	10	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5359.415736
2001-07-18	12	9	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	5952.553731
2001-07-19	13	8	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	4655.613631
2001-07-20	14	7	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	4360.294577
2001-07-23	15	6	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4744.47965
2001-07-24	16	5	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	3811.087708
2001-07-25	17	4	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	4115.593917
2001-07-26	18	3	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	2	1	1	1	1	0	3474.112836
2001-07-27	19	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	3	1	2	1	1	0	2684.339213
2001-07-30	20	1	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	1	3	1	0	0	4752.063795
2001-07-31	21	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	5	1	4	1	0	0	3480.421049
2001-08-01	0	21	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2653.919971
2001-08-02	1	20	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4377.556759
2001-08-03	2	19	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4408.174039
2001-08-06	3	18	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4128.390503
2001-08-07	4	17	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4122.99675
2001-08-08	5	16	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3269.04575
2001-08-09	6	15	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4416.839073
2001-08-10	7	14	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4268.980379
2001-08-13	8	13	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4738.870727
2001-08-14	9	12	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1579.569461
2001-08-16	10	11	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4266.524403
2001-08-17	11	10	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7064.776496
2001-08-20	12	9	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14552.06976
2001-08-21	13	8	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	5924.7936
2001-08-22	14	7	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	5070.299592
2001-08-23	15	6	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	5364.160183
2001-08-24	16	5	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	4185.030641
2001-08-27	17	4	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	4126.136308
2001-08-28	18	3	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	1	1	1	0	5556.832058
2001-08-29	19	2	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	3	1	2	1	1	0	4008.882075
2001-08-30	20	1	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	4	1	3	1	1	0	3520.779417
2001-08-31	21	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	5	1	4	1	1	0	4832.401963
2001-09-03	0	19	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4094.638546
2001-09-04	1	18	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4981.326167
2001-09-05	2	17	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4502.499253
2001-09-06	3	16	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5364.624279
2001-09-07	4	15	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4085.129793
2001-09-10	5	14	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3412.223247
2001-09-11	6	13	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2957.369499
2001-09-12	7	12	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2131.445346
2001-09-13	8	11	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4357.527356
2001-09-14	9	10	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6494.767302
2001-09-17	10	9	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	19633.72674
2001-09-18	11	8	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	8605.045157
2001-09-19	12	7	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	4577.292122
2001-09-20	13	6	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	5606.918623
2001-09-21	14	5	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	4482.03579
2001-09-24	15	4	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	3513.441278
2001-09-25	16	3	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	1	1	1	0	3312.329778
2001-09-26	17	2	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	3	1	2	1	1	0	4643.293036
2001-09-27	18	1	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	4	1	3	1	1	0	5295.820854
2001-09-28	19	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	5	1	4	1	1	0	3289.446035
2001-10-01	0	22	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4057.530681
2001-10-02	1	21	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5019.728944
2001-10-03	2	20	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4434.53631
2001-10-04	3	19	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4356.341843
2001-10-05	4	18	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4531.944619
2001-10-08	5	17	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4330.951841
2001-10-09	6	16	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4058.590413
2001-10-10	7	15	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5281.820297
2001-10-11	8	14	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4825.831338
2001-10-12	9	13	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7801.963287
2001-10-15	10	12	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	20919.06762
2001-10-16	11	11	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6863.050026
2001-10-17	12	10	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5840.287742
2001-10-18	13	9	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	5098.781982
2001-10-19	14	8	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	4945.20504
2001-10-22	15	7	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3970.558559
2001-10-23	16	6	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	5206.127471
2001-10-24	17	5	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5164.769213
2001-10-25	18	4	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	5694.724896
2001-10-26	19	3	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	2	1	1	1	1	0	4496.390829
2001-10-29	20	2	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	1	2	1	0	0	5645.077805
2001-10-30	21	1	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	4	1	3	1	0	0	5348.687729
2001-10-31	22	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	5	1	4	1	0	0	5294.222962
2001-11-01	0	21	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5949.173622
2001-11-02	1	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6753.860176
2001-11-05	2	19	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4217.036576
2001-11-06	3	18	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4311.49935
2001-11-07	4	17	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5827.032475
2001-11-08	5	16	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6381.748487
2001-11-09	6	15	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4707.007894
2001-11-12	7	14	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3694.754646
2001-11-13	8	13	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4759.577047
2001-11-14	9	12	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5703.239669
2001-11-15	10	11	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5926.070442
2001-11-16	11	10	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8892.497036
2001-11-19	12	9	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	18648.68999
2001-11-20	13	8	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	10159.32323
2001-11-21	14	7	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	6576.700699
2001-11-22	15	6	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	5306.215668
2001-11-23	16	5	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	5873.975998
2001-11-26	17	4	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	5048.960386
