SALESORDERID,SALESORDERITEM,PRODUCTID,NOTEID,CURRENCY,GROSSAMOUNT,NETAMOUNT,TAXAMOUNT,ITEMATPSTATUS,OPITEMPOS,QUANTITY,QUANTITYUNIT,DELIVERYDATE
0500000005,0000000010,RC-1054, ,USD,5499,4811.625,687.375,I,,10,EA,20180301
0500000005,0000000020,CC-1021, ,USD,1144,1001,143,I,,3,EA,20180301
0500000005,0000000030,RC-1052, ,USD,3999,3499.125,499.875,I,,9,EA,20180301
0500000005,0000000040,BX-1011, ,USD,249,217.875,31.125,I,,10,EA,20180301
0500000005,0000000050,HB-1175, ,USD,899,786.625,112.375,I,,2,EA,20180301
0500000005,0000000060,RO-1002, ,USD,689,602.875,86.125,I,,8,EA,20180301
0500000006,0000000010,EB-1137, ,USD,7900,6912.5,987.5,I,,5,EA,20180314
0500000006,0000000020,CB-1163, ,USD,288,252,36,I,,8,EA,20180314
0500000006,0000000030,EB-1134, ,USD,4800,4200,600,I,,7,EA,20180314
0500000006,0000000040,HB-1176, ,USD,1199,1049.125,149.875,I,,3,EA,20180314
0500000006,0000000050,RC-1052, ,USD,3999,3499.125,499.875,I,,6,EA,20180314
0500000006,0000000060,EB-1135, ,USD,3000,2625,375,I,,9,EA,20180314
0500000006,0000000070,RC-1054, ,USD,5499,4811.625,687.375,I,,8,EA,20180314
0500000007,0000000010,HB-1171, ,USD,699,611.625,87.375,I,,2,EA,20180308
0500000008,0000000010,EB-1137, ,USD,7900,6912.5,987.5,I,,10,EA,20180225
0500000008,0000000020,CC-1022, ,USD,1200,1050,150,I,,6,EA,20180225
0500000008,0000000030,CC-1023, ,USD,1361,1190.875,170.125,I,,10,EA,20180225
0500000008,0000000040,RC-1052, ,USD,3999,3499.125,499.875,I,,7,EA,20180225
0500000009,0000000010,BX-1014, ,USD,799,699.125,99.875,I,,9,EA,20180309
0500000009,0000000020,EB-1131, ,USD,1500,1312.5,187.5,I,,3,EA,20180309
0500000009,0000000030,EB-1135, ,USD,3000,2625,375,I,,7,EA,20180309
0500000009,0000000040,CC-1021, ,USD,1144,1001,143,I,,1,EA,20180309
0500000009,0000000050,EB-1135, ,USD,3000,2625,375,I,,6,EA,20180309
0500000009,0000000060,BX-1013, ,USD,449,392.875,56.125,I,,10,EA,20180309
0500000009,0000000070,DB-1081, ,USD,1499,1311.625,187.375,I,,10,EA,20180309
0500000009,0000000080,CB-1161, ,USD,399,349.125,49.875,I,,8,EA,20180309
0500000009,0000000090,HB-1171, ,USD,699,611.625,87.375,I,,4,EA,20180309
0500000009,0000000100,HB-1175, ,USD,899,786.625,112.375,I,,2,EA,20180309
0500000010,0000000010,RO-1002, ,USD,689,602.875,86.125,I,,10,EA,20180323
0500000010,0000000020,CC-1021, ,USD,1144,1001,143,I,,3,EA,20180323
0500000011,0000000010,MB-1032, ,USD,1299,1136.625,162.375,I,,8,EA,20180322
0500000011,0000000020,RO-1001, ,USD,525,459.375,65.625,I,,3,EA,20180322
0500000011,0000000030,MB-1031, ,USD,649,567.875,81.125,I,,5,EA,20180322
0500000011,0000000040,BX-1016, ,USD,319,279.125,39.875,I,,1,EA,20180322
0500000011,0000000050,EB-1132, ,USD,1900,1662.5,237.5,I,,1,EA,20180322
0500000011,0000000060,EB-1135, ,USD,3000,2625,375,I,,9,EA,20180322
0500000011,0000000070,RC-1054, ,USD,5499,4811.625,687.375,I,,10,EA,20180322
0500000012,0000000010,HB-1176, ,USD,1199,1049.125,149.875,I,,9,EA,20180317
0500000012,0000000020,CB-1161, ,USD,399,349.125,49.875,I,,2,EA,20180317
0500000012,0000000030,BX-1013, ,USD,449,392.875,56.125,I,,9,EA,20180317
0500000013,0000000010,RO-1001, ,USD,525,459.375,65.625,I,,3,EA,20180321
0500000013,0000000020,BX-1015, ,USD,299,261.625,37.375,I,,7,EA,20180321
0500000013,0000000030,RC-1055, ,USD,1999,1749.125,249.875,I,,8,EA,20180321
0500000013,0000000040,RO-1001, ,USD,525,459.375,65.625,I,,5,EA,20180321
0500000013,0000000050,CC-1023, ,USD,1361,1190.875,170.125,I,,3,EA,20180321
0500000013,0000000060,EB-1133, ,USD,2250,1968.75,281.25,I,,8,EA,20180321
0500000013,0000000070,CC-1022, ,USD,1200,1050,150,I,,9,EA,20180321
0500000013,0000000080,RC-1051, ,USD,2499,2186.625,312.375,I,,6,EA,20180321
0500000014,0000000010,CB-1161, ,USD,399,349.125,49.875,I,,3,EA,20180315
0500000014,0000000020,DB-1082, ,USD,1250,1093.75,156.25,I,,4,EA,20180315
0500000014,0000000030,DB-1081, ,USD,1499,1311.625,187.375,I,,10,EA,20180315
0500000014,0000000040,BX-1011, ,USD,249,217.875,31.125,I,,3,EA,20180315
0500000014,0000000050,CC-1022, ,USD,1200,1050,150,I,,7,EA,20180315
0500000014,0000000060,CB-1162, ,USD,400,350,50,I,,6,EA,20180315
0500000015,0000000010,DB-1083, ,USD,1199,1049.125,149.875,I,,2,EA,20180403
0500000015,0000000020,CB-1162, ,USD,400,350,50,I,,7,EA,20180403
0500000015,0000000030,MB-1033, ,USD,3999,3499.125,499.875,I,,4,EA,20180403
0500000016,0000000010,RC-1052, ,USD,3999,3499.125,499.875,I,,4,EA,20180307
0500000016,0000000020,BX-1012, ,USD,399,349.125,49.875,I,,1,EA,20180307
0500000016,0000000030,RC-1052, ,USD,3999,3499.125,499.875,I,,4,EA,20180307
0500000016,0000000040,EB-1133, ,USD,2250,1968.75,281.25,I,,2,EA,20180307
0500000016,0000000050,EB-1132, ,USD,1900,1662.5,237.5,I,,2,EA,20180307
0500000017,0000000010,RC-1057, ,USD,4999,4374.125,624.875,I,,1,EA,20180305
0500000017,0000000020,DB-1083, ,USD,1199,1049.125,149.875,I,,4,EA,20180305
0500000017,0000000030,RC-1053, ,USD,4599,4024.125,574.875,I,,1,EA,20180305
0500000017,0000000040,DB-1081, ,USD,1499,1311.625,187.375,I,,7,EA,20180305
0500000017,0000000050,BX-1011, ,USD,249,217.875,31.125,I,,1,EA,20180305
0500000017,0000000060,EB-1132, ,USD,1900,1662.5,237.5,I,,1,EA,20180305
0500000017,0000000070,RO-1001, ,USD,525,459.375,65.625,I,,8,EA,20180305
0500000017,0000000080,RC-1054, ,USD,5499,4811.625,687.375,I,,8,EA,20180305
0500000018,0000000010,BX-1016, ,USD,319,279.125,39.875,I,,9,EA,20180328
0500000019,0000000010,DB-1082, ,USD,1250,1093.75,156.25,I,,10,EA,20180401
0500000019,0000000020,RO-1001, ,USD,525,459.375,65.625,I,,5,EA,20180401
0500000019,0000000030,DB-1083, ,USD,1199,1049.125,149.875,I,,10,EA,20180401
0500000019,0000000040,CB-1162, ,USD,400,350,50,I,,1,EA,20180401
0500000020,0000000010,CC-1023, ,USD,1361,1190.875,170.125,I,,8,EA,20180322
0500000020,0000000020,EB-1136, ,USD,5000,4375,625,I,,3,EA,20180322
0500000020,0000000030,MB-1033, ,USD,3999,3499.125,499.875,I,,8,EA,20180322
0500000021,0000000010,HB-1174, ,USD,379,331.625,47.375,I,,1,EA,20180411
0500000022,0000000010,EB-1132, ,USD,1900,1662.5,237.5,I,,3,EA,20180330
0500000022,0000000020,DB-1082, ,USD,1250,1093.75,156.25,I,,1,EA,20180330
0500000023,0000000010,CB-1163, ,USD,288,252,36,I,,5,EA,20180323
0500000023,0000000020,HB-1176, ,USD,1199,1049.125,149.875,I,,8,EA,20180323
0500000023,0000000030,RC-1053, ,USD,4599,4024.125,574.875,I,,6,EA,20180323
0500000023,0000000040,DB-1083, ,USD,1199,1049.125,149.875,I,,10,EA,20180323
0500000023,0000000050,EB-1132, ,USD,1900,1662.5,237.5,I,,8,EA,20180323
0500000023,0000000060,RC-1051, ,USD,2499,2186.625,312.375,I,,8,EA,20180323
0500000024,0000000010,HB-1172, ,USD,799,699.125,99.875,I,,2,EA,20180402
0500000024,0000000020,CC-1023, ,USD,1361,1190.875,170.125,I,,10,EA,20180402
0500000024,0000000030,BX-1013, ,USD,449,392.875,56.125,I,,5,EA,20180402
0500000024,0000000040,CC-1021, ,USD,1144,1001,143,I,,4,EA,20180402
0500000024,0000000050,RC-1056, ,USD,2499,2186.625,312.375,I,,5,EA,20180402
0500000024,0000000060,EB-1135, ,USD,3000,2625,375,I,,2,EA,20180402
0500000024,0000000070,CC-1023, ,USD,1361,1190.875,170.125,I,,10,EA,20180402
0500000024,0000000080,CC-1022, ,USD,1200,1050,150,I,,9,EA,20180402
0500000024,0000000090,CC-1023, ,USD,1361,1190.875,170.125,I,,4,EA,20180402
0500000024,0000000100,MB-1034, ,USD,2499,2186.625,312.375,I,,10,EA,20180402
0500000025,0000000010,RC-1056, ,USD,2499,2186.625,312.375,I,,10,EA,20180325
0500000025,0000000020,HB-1173, ,USD,649,567.875,81.125,I,,8,EA,20180325
0500000025,0000000030,RO-1003, ,USD,721,630.875,90.125,I,,5,EA,20180325
0500000025,0000000040,BX-1013, ,USD,449,392.875,56.125,I,,4,EA,20180325
0500000025,0000000050,MB-1034, ,USD,2499,2186.625,312.375,I,,8,EA,20180325
0500000026,0000000010,DB-1081, ,USD,1499,1311.625,187.375,I,,2,EA,20180412
0500000026,0000000020,DB-1083, ,USD,1199,1049.125,149.875,I,,6,EA,20180412
0500000026,0000000030,BX-1013, ,USD,449,392.875,56.125,I,,10,EA,20180412
0500000026,0000000040,HB-1175, ,USD,899,786.625,112.375,I,,2,EA,20180412
0500000026,0000000050,BX-1011, ,USD,249,217.875,31.125,I,,6,EA,20180412
0500000026,0000000060,RC-1056, ,USD,2499,2186.625,312.375,I,,8,EA,20180412
0500000026,0000000070,EB-1136, ,USD,5000,4375,625,I,,8,EA,20180412
0500000026,0000000080,HB-1175, ,USD,899,786.625,112.375,I,,6,EA,20180412
0500000026,0000000090,CC-1023, ,USD,1361,1190.875,170.125,I,,1,EA,20180412
0500000026,0000000100,CB-1161, ,USD,399,349.125,49.875,I,,3,EA,20180412
0500000027,0000000010,HB-1171, ,USD,699,611.625,87.375,I,,7,EA,20180420
0500000027,0000000020,RC-1052, ,USD,3999,3499.125,499.875,I,,8,EA,20180420
0500000027,0000000030,RC-1055, ,USD,1999,1749.125,249.875,I,,2,EA,20180420
0500000027,0000000040,HB-1171, ,USD,699,611.625,87.375,I,,7,EA,20180420
0500000027,0000000050,CB-1163, ,USD,288,252,36,I,,7,EA,20180420
0500000027,0000000060,BX-1014, ,USD,799,699.125,99.875,I,,1,EA,20180420
0500000027,0000000070,CB-1161, ,USD,399,349.125,49.875,I,,8,EA,20180420
0500000027,0000000080,EB-1133, ,USD,2250,1968.75,281.25,I,,4,EA,20180420
0500000027,0000000090,EB-1132, ,USD,1900,1662.5,237.5,I,,4,EA,20180420
0500000027,0000000100,RC-1052, ,USD,3999,3499.125,499.875,I,,9,EA,20180420
0500000028,0000000010,EB-1136, ,USD,5000,4375,625,I,,7,EA,20180330
0500000028,0000000020,MB-1033, ,USD,3999,3499.125,499.875,I,,5,EA,20180330
0500000028,0000000030,CC-1023, ,USD,1361,1190.875,170.125,I,,8,EA,20180330
0500000028,0000000040,RO-1003, ,USD,721,630.875,90.125,I,,7,EA,20180330
0500000029,0000000010,HB-1172, ,USD,799,699.125,99.875,I,,1,EA,20180402
0500000029,0000000020,BX-1014, ,USD,799,699.125,99.875,I,,9,EA,20180402
0500000029,0000000030,RC-1054, ,USD,5499,4811.625,687.375,I,,6,EA,20180402
0500000029,0000000040,BX-1013, ,USD,449,392.875,56.125,I,,2,EA,20180402
0500000029,0000000050,EB-1132, ,USD,1900,1662.5,237.5,I,,10,EA,20180402
0500000029,0000000060,EB-1133, ,USD,2250,1968.75,281.25,I,,7,EA,20180402
0500000029,0000000070,RO-1001, ,USD,525,459.375,65.625,I,,2,EA,20180402
0500000029,0000000080,HB-1172, ,USD,799,699.125,99.875,I,,9,EA,20180402
0500000029,0000000090,CC-1022, ,USD,1200,1050,150,I,,9,EA,20180402
0500000030,0000000010,HB-1173, ,USD,649,567.875,81.125,I,,8,EA,20180325
0500000030,0000000020,EB-1134, ,USD,4800,4200,600,I,,9,EA,20180325
0500000030,0000000030,BX-1013, ,USD,449,392.875,56.125,I,,4,EA,20180325
0500000030,0000000040,RO-1003, ,USD,721,630.875,90.125,I,,9,EA,20180325
0500000030,0000000050,HB-1173, ,USD,649,567.875,81.125,I,,8,EA,20180325
0500000030,0000000060,HB-1174, ,USD,379,331.625,47.375,I,,7,EA,20180325
0500000030,0000000070,DB-1082, ,USD,1250,1093.75,156.25,I,,2,EA,20180325
0500000030,0000000080,EB-1133, ,USD,2250,1968.75,281.25,I,,4,EA,20180325
0500000031,0000000010,CC-1021, ,USD,1144,1001,143,I,,2,EA,20180408
0500000031,0000000020,CB-1163, ,USD,288,252,36,I,,2,EA,20180408
0500000031,0000000030,RC-1053, ,USD,4599,4024.125,574.875,I,,8,EA,20180408
0500000031,0000000040,BX-1012, ,USD,399,349.125,49.875,I,,5,EA,20180408
0500000031,0000000050,RO-1003, ,USD,721,630.875,90.125,I,,5,EA,20180408
0500000031,0000000060,DB-1083, ,USD,1199,1049.125,149.875,I,,3,EA,20180408
0500000031,0000000070,HB-1171, ,USD,699,611.625,87.375,I,,1,EA,20180408
0500000032,0000000010,HB-1174, ,USD,379,331.625,47.375,I,,5,EA,20180419
0500000032,0000000020,RO-1002, ,USD,689,602.875,86.125,I,,8,EA,20180419
0500000032,0000000030,EB-1134, ,USD,4800,4200,600,I,,3,EA,20180419
0500000032,0000000040,CB-1163, ,USD,288,252,36,I,,3,EA,20180419
0500000032,0000000050,RC-1056, ,USD,2499,2186.625,312.375,I,,8,EA,20180419
0500000032,0000000060,BX-1012, ,USD,399,349.125,49.875,I,,8,EA,20180419
0500000032,0000000070,EB-1132, ,USD,1900,1662.5,237.5,I,,6,EA,20180419
0500000033,0000000010,MB-1033, ,USD,3999,3499.125,499.875,I,,5,EA,20180401
0500000033,0000000020,EB-1131, ,USD,1500,1312.5,187.5,I,,4,EA,20180401
0500000033,0000000030,HB-1176, ,USD,1199,1049.125,149.875,I,,6,EA,20180401
0500000033,0000000040,RC-1052, ,USD,3999,3499.125,499.875,I,,10,EA,20180401
0500000034,0000000010,BX-1015, ,USD,299,261.625,37.375,I,,1,EA,20180504
0500000034,0000000020,DB-1082, ,USD,1250,1093.75,156.25,I,,1,EA,20180504
0500000034,0000000030,RC-1052, ,USD,3999,3499.125,499.875,I,,4,EA,20180504
0500000034,0000000040,HB-1175, ,USD,899,786.625,112.375,I,,8,EA,20180504
0500000034,0000000050,CC-1022, ,USD,1200,1050,150,I,,5,EA,20180504
0500000035,0000000010,EB-1137, ,USD,7900,6912.5,987.5,I,,1,EA,20180430
0500000035,0000000020,EB-1132, ,USD,1900,1662.5,237.5,I,,1,EA,20180430
0500000035,0000000030,EB-1134, ,USD,4800,4200,600,I,,7,EA,20180430
0500000035,0000000040,RC-1056, ,USD,2499,2186.625,312.375,I,,3,EA,20180430
0500000036,0000000010,HB-1172, ,USD,799,699.125,99.875,I,,7,EA,20180414
0500000036,0000000020,EB-1137, ,USD,7900,6912.5,987.5,I,,5,EA,20180414
0500000036,0000000030,CB-1163, ,USD,288,252,36,I,,5,EA,20180414
0500000036,0000000040,RC-1057, ,USD,4999,4374.125,624.875,I,,6,EA,20180414
0500000036,0000000050,CB-1162, ,USD,400,350,50,I,,1,EA,20180414
0500000036,0000000060,EB-1136, ,USD,5000,4375,625,I,,3,EA,20180414
0500000036,0000000070,HB-1171, ,USD,699,611.625,87.375,I,,6,EA,20180414
0500000036,0000000080,BX-1016, ,USD,319,279.125,39.875,I,,2,EA,20180414
0500000037,0000000010,BX-1015, ,USD,299,261.625,37.375,I,,7,EA,20180507
0500000037,0000000020,DB-1081, ,USD,1499,1311.625,187.375,I,,2,EA,20180507
0500000037,0000000030,BX-1016, ,USD,319,279.125,39.875,I,,3,EA,20180507
0500000038,0000000010,EB-1132, ,USD,1900,1662.5,237.5,I,,7,EA,20180501
0500000038,0000000020,EB-1136, ,USD,5000,4375,625,I,,6,EA,20180501
0500000038,0000000030,BX-1013, ,USD,449,392.875,56.125,I,,7,EA,20180501
0500000039,0000000010,RC-1054, ,USD,5499,4811.625,687.375,I,,2,EA,20180424
0500000039,0000000020,EB-1133, ,USD,2250,1968.75,281.25,I,,1,EA,20180424
0500000040,0000000010,EB-1135, ,USD,3000,2625,375,I,,9,EA,20180505
0500000040,0000000020,CB-1163, ,USD,288,252,36,I,,5,EA,20180505
0500000040,0000000030,EB-1134, ,USD,4800,4200,600,I,,3,EA,20180505
0500000040,0000000040,CB-1161, ,USD,399,349.125,49.875,I,,2,EA,20180505
0500000041,0000000010,BX-1014, ,USD,799,699.125,99.875,I,,4,EA,20180501
0500000041,0000000020,BX-1016, ,USD,319,279.125,39.875,I,,10,EA,20180501
0500000041,0000000030,CB-1161, ,USD,399,349.125,49.875,I,,7,EA,20180501
0500000041,0000000040,DB-1082, ,USD,1250,1093.75,156.25,I,,3,EA,20180501
0500000041,0000000050,BX-1015, ,USD,299,261.625,37.375,I,,9,EA,20180501
0500000041,0000000060,EB-1136, ,USD,5000,4375,625,I,,1,EA,20180501
0500000041,0000000070,BX-1015, ,USD,299,261.625,37.375,I,,4,EA,20180501
0500000041,0000000080,HB-1174, ,USD,379,331.625,47.375,I,,4,EA,20180501
0500000041,0000000090,RO-1003, ,USD,721,630.875,90.125,I,,8,EA,20180501
0500000042,0000000010,BX-1013, ,USD,449,392.875,56.125,I,,5,EA,20180421
0500000042,0000000020,DB-1081, ,USD,1499,1311.625,187.375,I,,6,EA,20180421
0500000042,0000000030,DB-1081, ,USD,1499,1311.625,187.375,I,,4,EA,20180421
0500000042,0000000040,EB-1132, ,USD,1900,1662.5,237.5,I,,4,EA,20180421
0500000042,0000000050,CB-1161, ,USD,399,349.125,49.875,I,,2,EA,20180421
0500000042,0000000060,HB-1173, ,USD,649,567.875,81.125,I,,9,EA,20180421
0500000043,0000000010,EB-1135, ,USD,3000,2625,375,I,,8,EA,20180425
0500000043,0000000020,HB-1176, ,USD,1199,1049.125,149.875,I,,1,EA,20180425
0500000043,0000000030,EB-1131, ,USD,1500,1312.5,187.5,I,,4,EA,20180425
0500000043,0000000040,CB-1161, ,USD,399,349.125,49.875,I,,9,EA,20180425
0500000043,0000000050,RO-1002, ,USD,689,602.875,86.125,I,,1,EA,20180425
0500000044,0000000010,BX-1016, ,USD,319,279.125,39.875,I,,1,EA,20180429
0500000044,0000000020,BX-1011, ,USD,249,217.875,31.125,I,,2,EA,20180429
0500000044,0000000030,BX-1013, ,USD,449,392.875,56.125,I,,1,EA,20180429
0500000045,0000000010,EB-1135, ,USD,3000,2625,375,I,,3,EA,20180507
0500000046,0000000010,BX-1014, ,USD,799,699.125,99.875,I,,3,EA,20180508
0500000046,0000000020,CB-1163, ,USD,288,252,36,I,,6,EA,20180508
0500000046,0000000030,RC-1054, ,USD,5499,4811.625,687.375,I,,9,EA,20180508
0500000046,0000000040,BX-1012, ,USD,399,349.125,49.875,I,,10,EA,20180508
0500000046,0000000050,EB-1135, ,USD,3000,2625,375,I,,4,EA,20180508
0500000046,0000000060,RC-1055, ,USD,1999,1749.125,249.875,I,,10,EA,20180508
0500000046,0000000070,HB-1174, ,USD,379,331.625,47.375,I,,6,EA,20180508
0500000046,0000000080,CB-1161, ,USD,399,349.125,49.875,I,,7,EA,20180508
0500000046,0000000090,BX-1013, ,USD,449,392.875,56.125,I,,2,EA,20180508
0500000047,0000000010,CC-1021, ,USD,1144,1001,143,I,,2,EA,20180503
0500000048,0000000010,DB-1081, ,USD,1499,1311.625,187.375,I,,10,EA,20180505
0500000048,0000000020,RO-1003, ,USD,721,630.875,90.125,I,,7,EA,20180505
0500000048,0000000030,CB-1163, ,USD,288,252,36,I,,6,EA,20180505
0500000048,0000000040,RC-1055, ,USD,1999,1749.125,249.875,I,,8,EA,20180505
0500000048,0000000050,DB-1083, ,USD,1199,1049.125,149.875,I,,5,EA,20180505
0500000048,0000000060,BX-1011, ,USD,249,217.875,31.125,I,,1,EA,20180505
0500000048,0000000070,MB-1032, ,USD,1299,1136.625,162.375,I,,8,EA,20180505
0500000048,0000000080,CC-1021, ,USD,1144,1001,143,I,,5,EA,20180505
0500000049,0000000010,CB-1161, ,USD,399,349.125,49.875,I,,8,EA,20180518
0500000049,0000000020,BX-1011, ,USD,249,217.875,31.125,I,,1,EA,20180518
0500000049,0000000030,HB-1172, ,USD,799,699.125,99.875,I,,9,EA,20180518
0500000049,0000000040,BX-1011, ,USD,249,217.875,31.125,I,,3,EA,20180518
0500000049,0000000050,DB-1081, ,USD,1499,1311.625,187.375,I,,8,EA,20180518
0500000049,0000000060,RC-1057, ,USD,4999,4374.125,624.875,I,,5,EA,20180518
0500000049,0000000070,DB-1081, ,USD,1499,1311.625,187.375,I,,10,EA,20180518
0500000049,0000000080,BX-1015, ,USD,299,261.625,37.375,I,,6,EA,20180518
0500000049,0000000090,BX-1011, ,USD,249,217.875,31.125,I,,2,EA,20180518
0500000049,0000000100,RC-1057, ,USD,4999,4374.125,624.875,I,,2,EA,20180518
0500000050,0000000010,DB-1083, ,USD,1199,1049.125,149.875,I,,4,EA,20180512
0500000050,0000000020,CB-1161, ,USD,399,349.125,49.875,I,,8,EA,20180512
0500000050,0000000030,EB-1134, ,USD,4800,4200,600,I,,8,EA,20180512
0500000050,0000000040,EB-1136, ,USD,5000,4375,625,I,,2,EA,20180512
0500000051,0000000010,BX-1011, ,USD,249,217.875,31.125,I,,8,EA,20180511
0500000051,0000000020,DB-1083, ,USD,1199,1049.125,149.875,I,,5,EA,20180511
0500000051,0000000030,RC-1055, ,USD,1999,1749.125,249.875,I,,7,EA,20180511
0500000052,0000000010,HB-1173, ,USD,649,567.875,81.125,I,,1,EA,20180531
0500000052,0000000020,RC-1051, ,USD,2499,2186.625,312.375,I,,6,EA,20180531
0500000053,0000000010,CB-1161, ,USD,399,349.125,49.875,I,,10,EA,20180527
0500000053,0000000020,MB-1032, ,USD,1299,1136.625,162.375,I,,6,EA,20180527
0500000053,0000000030,RC-1055, ,USD,1999,1749.125,249.875,I,,6,EA,20180527
0500000054,0000000010,CC-1021, ,USD,1144,1001,143,I,,3,EA,20180601
0500000054,0000000020,DB-1081, ,USD,1499,1311.625,187.375,I,,5,EA,20180601
0500000054,0000000030,RC-1052, ,USD,3999,3499.125,499.875,I,,5,EA,20180601
0500000054,0000000040,HB-1172, ,USD,799,699.125,99.875,I,,4,EA,20180601
0500000054,0000000050,CC-1022, ,USD,1200,1050,150,I,,3,EA,20180601
0500000055,0000000010,BX-1011, ,USD,249,217.875,31.125,I,,3,EA,20180518
0500000055,0000000020,RC-1052, ,USD,3999,3499.125,499.875,I,,3,EA,20180518
0500000055,0000000030,RC-1052, ,USD,3999,3499.125,499.875,I,,1,EA,20180518
0500000055,0000000040,RC-1051, ,USD,2499,2186.625,312.375,I,,2,EA,20180518
0500000055,0000000050,RC-1053, ,USD,4599,4024.125,574.875,I,,10,EA,20180518
0500000055,0000000060,RO-1003, ,USD,721,630.875,90.125,I,,4,EA,20180518
0500000056,0000000010,EB-1135, ,USD,3000,2625,375,I,,4,EA,20180608
0500000056,0000000020,EB-1134, ,USD,4800,4200,600,I,,8,EA,20180608
0500000056,0000000030,EB-1134, ,USD,4800,4200,600,I,,4,EA,20180608
0500000056,0000000040,CB-1161, ,USD,399,349.125,49.875,I,,1,EA,20180608
0500000056,0000000050,EB-1134, ,USD,4800,4200,600,I,,5,EA,20180608
0500000056,0000000060,CB-1163, ,USD,288,252,36,I,,7,EA,20180608
0500000056,0000000070,RO-1002, ,USD,689,602.875,86.125,I,,3,EA,20180608
0500000057,0000000010,RO-1002, ,USD,689,602.875,86.125,I,,2,EA,20180528
0500000057,0000000020,HB-1171, ,USD,699,611.625,87.375,I,,4,EA,20180528
0500000057,0000000030,HB-1175, ,USD,899,786.625,112.375,I,,2,EA,20180528
0500000057,0000000040,CB-1163, ,USD,288,252,36,I,,5,EA,20180528
0500000057,0000000050,HB-1174, ,USD,379,331.625,47.375,I,,9,EA,20180528
0500000057,0000000060,EB-1131, ,USD,1500,1312.5,187.5,I,,7,EA,20180528
0500000057,0000000070,HB-1176, ,USD,1199,1049.125,149.875,I,,2,EA,20180528
0500000057,0000000080,CC-1021, ,USD,1144,1001,143,I,,5,EA,20180528
0500000058,0000000010,MB-1033, ,USD,3999,3499.125,499.875,I,,3,EA,20180530
0500000058,0000000020,CB-1163, ,USD,288,252,36,I,,6,EA,20180530
0500000058,0000000030,CB-1163, ,USD,288,252,36,I,,8,EA,20180530
0500000058,0000000040,EB-1133, ,USD,2250,1968.75,281.25,I,,9,EA,20180530
0500000058,0000000050,HB-1176, ,USD,1199,1049.125,149.875,I,,1,EA,20180530
0500000058,0000000060,MB-1033, ,USD,3999,3499.125,499.875,I,,4,EA,20180530
0500000058,0000000070,EB-1133, ,USD,2250,1968.75,281.25,I,,5,EA,20180530
0500000058,0000000080,RC-1055, ,USD,1999,1749.125,249.875,I,,9,EA,20180530
0500000059,0000000010,RO-1001, ,USD,525,459.375,65.625,I,,2,EA,20180604
