BUKRS,BELNR,GJAHR,BUZEI,BUZID,AUGDT,AUGCP,AUGBL,BSCHL,KOART,UMSKZ,UMSKS,ZUMSK,SHKZG,GSBER,PARGB,MWSKZ,WRBTR,KZBTR,PSWBT,PSWSL,AUFNR,VBELN,SAKNR,LIFNR,EBELN,EBELP,MATNR,WERKS,_BKPF_STBLG,KOSTL,MENGE,MEINS,SPGRP,SPGRM,SPGRT,SPGRG,SPGRV,SPGRQ,HKONT,_BKPF_BLART,_BKPF_BUDAT,_BKPF_MONTH,_BKPF_CPUDT,_BKPF_CPUTM,_BKPF_AEDAT,_BKPF_TCODE,_BKPF_WAERS,_BKPF_AWTYP,_BKPF_AWKEY
ABC12,5900066567,2020,13,T,,,,40,S,,,,S,,,H9,"    67.018,41",,,EUR,,,,,,,,,,,,,,,,,,,7160500,KN,20200320,,20200325,12:25:40 PM,,FBVB,EUR,BKPF,5900066567ABC052020
ABC12,5900066567,2020,12,,,,,40,S,,,,S,,,H9,"        26,00",,,EUR,,,,,,,,,,,,,,,,,,,1786990,KN,20200320,,20200325,12:25:40 PM,,FBVB,EUR,BKPF,5900066567ABC052020
ABC12,5900066567,2020,11,,,,,40,S,,,,S,,,H9,"     5.272,07",,,EUR,,,,,,,,,,,,,,,,,,,1786990,KN,20200320,,20200325,12:25:40 PM,,FBVB,EUR,BKPF,5900066567ABC052020
ABC12,5900066567,2020,10,,,,,40,S,,,,S,,,H9,"     224,46",,,EUR,,,,,,,,,,,,,,,,,,,1786990,KN,20200320,,20200325,12:25:40 PM,,FBVB,EUR,BKPF,5900066567ABC052020
ABC12,5900066567,2020,9,,,,,40,S,,,,S,,,H9,"3.481,76",,,EUR,,,,,,,,,,,,,,,,,,,1786990,KN,20200320,,20200325,12:25:40 PM,,FBVB,EUR,BKPF,5900066567ABC052020
ABC12,5900066567,2020,8,,,,,40,S,,,,S,,,H9,"     6.896,01",,,EUR,,,,,,,,,,,,,,,,,,,1786990,KN,20200320,,20200325,12:25:40 PM,,FBVB,EUR,BKPF,5900066567ABC052020
ABC12,5900066567,2020,7,,,,,40,S,,,,S,,,H9,"        58,54",,,EUR,,,,,,,,,,,,,,,,,,,1786990,KN,20200320,,20200325,12:25:40 PM,,FBVB,EUR,BKPF,5900066567ABC052020
ABC12,5900066567,2020,6,,,,,40,S,,,,S,,,H9,"        81,81",,,EUR,,,,,,,,,,,,,,,,,,,1786990,KN,20200320,,20200325,12:25:40 PM,,FBVB,EUR,BKPF,5900066567ABC052020
ABC12,5900066567,2020,5,,,,,40,S,,,,S,,,H9,"       591,68",,,EUR,,,,,,,,,,,,,,,,,,,1786990,KN,20200320,,20200325,12:25:40 PM,,FBVB,EUR,BKPF,5900066567ABC052020
ABC12,5900066567,2020,4,,,,,40,S,,,,S,,,H9,"       592,87",,,EUR,,,,,,,,,,,,,,,,,,,1786990,KN,20200320,,20200325,12:25:40 PM,,FBVB,EUR,BKPF,5900066567ABC052020
ABC12,5900066567,2020,3,,,,,40,S,,,,S,,,T0,"        62,80",,,EUR,,,,,,,,,,,,,,,,,,,1786990,KN,20200320,,20200325,12:25:40 PM,,FBVB,EUR,BKPF,5900066567ABC052020
ABC12,5900066567,2020,2,,,,,40,S,,,,S,,,H9,"       617,59",,,EUR,,,,,,,,,,,,,,,,,,,1786990,KN,20200320,,20200325,12:25:40 PM,,FBVB,EUR,BKPF,5900066567ABC052020
ABC12,5900066567,2020,1,,01.04.2020,31.03.2020,6005296690,31,K,,,,H,,,**,"3.852,51",,,EUR,,,,14081409,,,,,,,,,,,,,,,7844500,KN,20200320,,20200325,12:25:40 PM,,FBVB,EUR,BKPF,5900066567ABC052020
ABC12,5900066557,2020,3,T,,,,40,S,,,,S,,,H9,"       588,86",,,EUR,,,,,,,,,,,,,,,,,,,7160500,KN,20200319,,20200319,10:55:07 AM,,FBVB,EUR,BKPF,5900066557ABC052020
ABC12,5900066557,2020,2,,,,,40,S,,,,S,,,H9,"       266,03",,,EUR,,,,,,,,,,,,,,,,,,,1786910,KN,20200319,,20200319,10:55:07 AM,,FBVB,EUR,BKPF,5900066557ABC052020
ABC12,5900066557,2020,1,,16.04.2020,15.04.2020,6005298114,31,K,,,,H,,,**,"       311,90",,,EUR,,,,13081827,,,,,,,,,,,,,,,7500060,KN,20200319,,20200319,10:55:07 AM,,FBVB,EUR,BKPF,5900066557ABC052020
ABC12,5900066556,2020,3,T,,,,40,S,,,,S,,,H9,"       552,94",,,EUR,,,,,,,,,,,,,,,,,,,7160500,KN,20200319,,20200319,10:50:21 AM,,FBVB,EUR,BKPF,5900066556ABC052020
ABC12,5900066556,2020,2,,,,,40,S,,,,S,,,H9,"       932,48",,,EUR,,,,,,,,,,,,,,,,,,,1786910,KN,20200319,,20200319,10:50:21 AM,,FBVB,EUR,BKPF,5900066556ABC052020
ABC12,5900066556,2020,1,,16.04.2020,15.04.2020,6005298114,31,K,,,,H,,,**,"       209,97",,,EUR,,,,13081827,,,,,,,,,,,,,,,7500060,KN,20200319,,20200319,10:50:21 AM,,FBVB,EUR,BKPF,5900066556ABC052020
ABC12,5900066555,2020,3,T,,,,40,S,,,,S,,,H9,"        54,34",,,EUR,,,,,,,,,,,,,,,,,,,7160500,KN,20200319,,20200319,11:19:48 AM,,FBVB,EUR,BKPF,5900066555ABC052020
ABC12,5900066555,2020,2,,,,,40,S,,,,S,,,H9,"        44,81",,,EUR,,,,,,,,,,ABC05000587,,,,,,,,,2630529,KN,20200319,,20200319,11:19:48 AM,,FBVB,EUR,BKPF,5900066555ABC052020
ABC12,5900066555,2020,1,,16.04.2020,15.04.2020,6005298129,31,K,,,,H,,,**,"       554,79",,,EUR,,,,14048391,,,,,,,,,,,,,,,7500000,KN,20200319,,20200319,11:19:48 AM,,FBVB,EUR,BKPF,5900066555ABC052020
ABC12,5900066550,2020,3,T,,,,40,S,,,,S,,,H9,"         7,94",,,EUR,,,,,,,,,,,,,,,,,,,7160500,KN,20200319,,20200319,11:16:33 AM,,FBVB,EUR,BKPF,5900066550ABC052020
ABC12,5900066550,2020,2,,,,,40,S,,,,S,,,H9,"        52,42",,,EUR,,,,,,,,,,ABC05000580,,,,,,,,,2630529,KN,20200319,,20200319,11:16:33 AM,,FBVB,EUR,BKPF,5900066550ABC052020
ABC12,5900066550,2020,1,,16.04.2020,15.04.2020,6005298129,31,K,,,,H,,,**,"        65,91",,,EUR,,,,14048391,,,,,,,,,,,,,,,7500000,KN,20200319,,20200319,11:16:33 AM,,FBVB,EUR,BKPF,5900066550ABC052020
ABC12,5900066504,2020,3,T,,,,40,S,,,,S,,,H9,"   539.798,95",,,EUR,,,,,,,,,,,,,,,,,,,7160500,KN,20200319,,20200319,3:39:38 PM,,FBVB,EUR,BKPF,5900066504ABC052020
ABC12,5900066504,2020,2,,,,,40,S,,,,S,,,H9,"   461.226,98",,,EUR,,,,,,,,,,,,,,,,,,,1786910,KN,20200319,,20200319,3:39:38 PM,,FBVB,EUR,BKPF,5900066504ABC052020
ABC12,5900066504,2020,1,,16.04.2020,15.04.2020,6005298120,31,K,,,,H,,,**,"56.562,09",,,EUR,,,,13081827,,,,,,,,,,,,,,,7500060,KN,20200319,,20200319,3:39:38 PM,,FBVB,EUR,BKPF,5900066504ABC052020
ABC12,5900066503,2020,3,T,,,,40,S,,,,S,,,H9,"       753,00",,,EUR,,,,,,,,,,,,,,,,,,,7160500,KN,20200319,,20200319,10:41:48 AM,,FBVB,EUR,BKPF,5900066503ABC052020
ABC12,5900066503,2020,2,,,,,40,S,,,,S,,,H9,"     5.934,44",,,EUR,,,,,,,,,,,,,,,,,,,1786910,KN,20200319,,20200319,10:41:48 AM,,FBVB,EUR,BKPF,5900066503ABC052020
ABC12,5900066503,2020,1,,16.04.2020,15.04.2020,6005298114,31,K,,,,H,,,**,"     5.402,44",,,EUR,,,,13081827,,,,,,,,,,,,,,,7500060,KN,20200319,,20200319,10:41:48 AM,,FBVB,EUR,BKPF,5900066503ABC052020
ABC12,5900066502,2020,3,T,,,,40,S,,,,S,,,H9,"       590,69",,,EUR,,,,,,,,,,,,,,,,,,,7160500,KN,20200318,,20200318,11:32:58 AM,,FBVB,EUR,BKPF,5900066502ABC052020
ABC12,5900066502,2020,2,,,,,40,S,,,,S,,,H9,"       295,69",,,EUR,,,,,,,,,,,,,,,,,,,1786910,KN,20200318,,20200318,11:32:58 AM,,FBVB,EUR,BKPF,5900066502ABC052020
ABC12,5900066502,2020,1,,15.04.2020,14.04.2020,6005298814,31,K,,,,H,,,**,"       405,90",,,EUR,,,,13082380,,,,,,,,,,,,,,,7500060,KN,20200318,,20200318,11:32:58 AM,,FBVB,EUR,BKPF,5900066502ABC052020
ABC12,5900066501,2020,4,T,,,,40,S,,,,S,,,Y7,"       759,00",,,EUR,,,,,,,,,,,,,,,,,,,7160500,KN,20200318,,20200324,12:23:28 PM,,FBVB,EUR,BKPF,5900066501ABC052020
ABC12,5900066501,2020,3,T,,,,50,S,,,,H,,,Y7,"       759,00",,,EUR,,,,,,,,,,,,,,,,,,,7160600,KN,20200318,,20200324,12:23:28 PM,,FBVB,EUR,BKPF,5900066501ABC052020
