MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,target
3.125,39,3.745614035,1.061403509,389,1.706140351,37.81,-122.25,2.375
2.5795,52,3.515497553,1.143556281,895,1.460032626,37.81,-122.25,3.5
2.8406,34,3.281721632,1.069871437,2689,1.503074343,37.81,-122.26,3.357
4.9306,52,6.18442623,0.922131148,674,2.762295082,37.82,-122.24,3.134
3.2727,52,4.442982456,1.057017544,709,1.554824561,37.81,-122.24,2.685
3.1691,52,4.165876777,1.090047393,686,1.625592417,37.81,-122.25,2.594
3.9,52,4.848189415,1.045961003,1444,2.011142061,37.82,-122.24,2.757
3.9063,28,4.16084788,1.066084788,1520,1.895261845,37.82,-122.25,2.25
5.0917,52,5.628458498,1.14229249,550,2.173913043,37.82,-122.25,2.625
2.6429,32,3.727005871,1.074363992,1806,1.767123288,37.82,-122.25,2.185
3.0233,26,3.253081348,0.982744454,1749,1.437140509,37.82,-122.25,2.55
3.1484,52,4.578034682,1.077071291,939,1.809248555,37.83,-122.25,2.241
3.4722,35,3.822274882,1.014218009,675,1.599526066,37.83,-122.25,2.431
3.1429,52,4.395189003,0.986254296,534,1.835051546,37.83,-122.25,2.316
2.4234,28,3.023479831,1.053582179,2558,1.540036123,37.83,-122.25,2.185
3.0897,52,4.040501446,1.06557377,1786,1.722275796,37.83,-122.25,2.341
5.8596,50,6.742627346,1.069705094,970,2.600536193,37.84,-122.23,3.276
5.2868,47,6.546391753,0.936082474,1098,2.263917526,37.84,-122.23,3.476
5.956,41,6.85106383,1.079787234,794,2.111702128,37.83,-122.24,3.661
4.9643,37,7.106382979,1.14893617,98,2.085106383,37.85,-122.24,3.35
6.3434,52,6.947890819,1.019851117,1061,2.632754342,37.85,-122.23,3.736
5.1773,52,6.358558559,1.034234234,1177,2.120720721,37.84,-122.24,3.895
7.2354,52,7.117166213,0.994550409,901,2.455040872,37.85,-122.24,3.911
5.457,28,5.530334728,1.09623431,2031,2.124476987,37.85,-122.22,3.373
7.5,50,6.127348643,0.987473904,1031,2.152400835,37.84,-122.22,2.952
6.0194,44,5.735343384,1,1358,2.274706868,37.84,-122.21,2.923
7.5544,40,7.631498471,1.03058104,1616,2.470948012,37.83,-122.21,4.115
6.0666,30,6.44606414,1.008746356,844,2.460641399,37.84,-122.2,3.115
7.0548,34,6.125,0.987903226,1140,2.298387097,37.84,-122.21,3.259
11.6017,18,8.335051546,1.082474227,533,2.74742268,37.84,-122.19,3.926
7.4882,35,6.467268623,1.038374718,1072,2.41986456,37.84,-122.2,3.193
6.8976,34,6.61227154,1.028720627,1627,2.124020888,37.83,-122.21,3.333
8.2049,28,6.978947368,0.968421053,463,2.436842105,37.83,-122.19,3.352
8.401,26,7.530805687,1.056872038,542,2.568720379,37.83,-122.2,3.512
6.8538,29,6.657992565,1.007434944,661,2.457249071,37.83,-122.19,3.689
8.317,32,6.977186312,1.003802281,635,2.414448669,37.82,-122.19,3.659
7.0175,37,6.982954545,1.028409091,420,2.386363636,37.82,-122.2,3.667
6.3302,39,7.54,1.068,1265,2.53,37.82,-122.2,3.628
6.3624,30,5.615384615,0.730769231,126,2.423076923,37.81,-122.18,4.833
7.0549,52,6.785714286,0.951428571,813,2.322857143,37.82,-122.21,3.314
6.7851,45,6.957746479,1.023474178,1067,2.504694836,37.81,-122.2,3.235
2.8929,50,5.132246377,1.096014493,1260,2.282608696,37.8,-122.21,2.167
3.0812,38,4.628336756,1.098562628,951,1.952772074,37.8,-122.21,2.331
5.2402,52,6.200892857,0.946428571,510,2.276785714,37.81,-122.21,2.964
6.5217,52,6.399350649,1.087662338,765,2.483766234,37.81,-122.22,2.737
3.2632,52,4.745652174,1.010869565,1129,2.454347826,37.8,-122.22,2.277
3.0298,52,5.183673469,1.052154195,1073,2.433106576,37.8,-122.22,1.996
4.5428,52,5.283495146,1.050485437,1185,2.300970874,37.8,-122.22,2.398
4.072,52,5.952941176,0.997058824,756,2.223529412,37.81,-122.22,2.701
5.3509,52,5.650671785,1.028790787,1034,1.984644914,37.81,-122.22,3.021
3.1603,52,4.4291939,1.058823529,787,1.71459695,37.8,-122.23,2.695
4.7708,52,6.727699531,1.075117371,612,2.873239437,37.81,-122.23,3.147
8.1564,52,7.702631579,1.057894737,1021,2.686842105,37.81,-122.22,3.901
8.8793,52,8.972868217,1.131782946,861,3.337209302,37.81,-122.23,4.103
6.8591,52,7.599388379,0.957186544,953,2.914373089,37.81,-122.24,3.524
6.0302,52,5.8203125,0.9296875,634,2.4765625,37.81,-122.24,2.873
7.508,52,7.994318182,1.036931818,878,2.494318182,37.81,-122.23,3.487
2.7477,52,4.333333333,1.138716356,918,1.900621118,37.81,-122.24,2.438
2.1944,52,5.074285714,0.96,360,2.057142857,37.8,-122.24,2.115
3.0149,52,4.276639344,1.045081967,1197,2.452868852,37.8,-122.25,2.184
3.675,52,4.851351351,0.969111969,1048,2.023166023,37.81,-122.24,2.699
3.225,46,4.326639893,1.117804552,1373,1.838018742,37.81,-122.25,2.188
2.9345,42,4.0591133,1.049261084,1715,1.689655172,37.8,-122.25,2.25
2.1429,43,3.274238227,1.096952909,1359,1.882271468,37.8,-122.25,2.5
1.6121,41,3.561743341,1.13559322,1062,2.571428571,37.8,-122.25,1.714
1.3929,29,3.192755498,1.117723157,1335,1.727037516,37.8,-122.25,1.938
2.3173,27,3.804195804,1.146853147,1171,2.72960373,37.79,-122.24,1.25
1.7772,45,3.882608696,1.143478261,1475,3.206521739,37.79,-122.25,0.975
2.6458,50,3.209183673,0.959183673,742,3.785714286,37.79,-122.25,1.25
2.181,52,3.688705234,1.077134986,1086,2.991735537,37.79,-122.25,1.388
2.2303,36,3.090239411,1.116022099,1645,3.02946593,37.8,-122.25,1.167
1.6504,43,3.639751553,1.004658385,1710,2.655279503,37.8,-122.25,1.518
2.2697,52,4.368421053,1,731,3.206140351,37.8,-122.24,1.27
2.1563,52,4.585014409,1.074927954,1118,3.221902017,37.8,-122.24,1.286
2.1348,52,4.734328358,1.188059701,1006,3.002985075,37.8,-122.24,1.406
2.6292,47,3.693140794,1.061371841,1213,2.189530686,37.8,-122.24,1.827
2.3833,52,4.638132296,1.124513619,772,3.003891051,37.8,-122.23,1.469
2.957,52,4.496259352,1.047381546,1321,3.294264339,37.8,-122.24,1.228
2.5238,49,4.192023634,1.106351551,1487,2.196454948,37.8,-122.24,1.693
1.9375,52,4.209677419,0.989247312,488,2.623655914,37.8,-122.23,1.266
1.9028,51,4.056122449,1.056122449,949,2.420918367,37.8,-122.23,1.279
2.25,50,4.207228916,1.156626506,1149,2.768674699,37.8,-122.23,1.235
2.3929,52,4.471428571,1.067857143,844,3.014285714,37.8,-122.23,1.119
2.1917,43,4.844029245,1.091795288,4367,3.54752234,37.79,-122.23,1.128
2.9357,52,4.327669903,0.958737864,1659,4.026699029,37.79,-122.23,1.079
1.8854,30,3.798479087,1.003802281,1011,3.844106464,37.79,-122.23,1.375
2.1638,39,3.776349614,1.107969152,1464,3.763496144,37.79,-122.24,1.055
2.125,47,4.528052805,1.303630363,1237,4.082508251,37.79,-122.24,0.955
3.375,52,4.011904762,1.071428571,647,3.851190476,37.79,-122.24,1.161
2.2542,43,4.554621849,1.053221289,1284,3.596638655,37.79,-122.24,1.122
2.1,51,3.181818182,0.781818182,228,4.145454545,37.79,-122.25,0.75
1.6,39,3.74796748,1.048780488,381,3.097560976,37.79,-122.25,1.125
3.625,52,3.973568282,1.044052863,846,3.726872247,37.79,-122.25,1.25
1.6929,20,3.51035503,1.152366864,1659,2.454142012,37.8,-122.26,1.15
1.6471,52,2.833333333,0.927536232,520,3.768115942,37.77,-122.22,0.95
2.59,52,4.38996139,1.162162162,866,3.343629344,37.77,-122.22,0.964
2.57,52,4.202185792,1.12568306,612,3.344262295,37.77,-122.23,0.72
2.6429,52,3.746031746,1.158730159,415,3.293650794,37.78,-122.23,0.713
3.0257,52,4.046948357,1.009389671,994,4.666666667,37.78,-122.23,0.808
1.4886,50,4.025157233,1.111111111,1525,3.19706499,37.78,-122.22,1.288
1.9338,43,3.242009132,1.077625571,1506,3.438356164,37.78,-122.23,1.125
1.4844,52,3.866666667,1.011764706,1008,3.952941176,37.78,-122.23,1.194
1.6009,44,3.115845539,1.098535286,2813,3.745672437,37.78,-122.23,1.181
2.0375,48,4.944606414,1.15451895,1481,4.317784257,37.79,-122.23,1.225
2.293,49,5.365296804,0.99086758,859,3.922374429,37.79,-122.23,1.063
2.1494,37,4.479923518,1.09751434,1608,3.07456979,37.79,-122.22,1.325
1.6198,30,4.357142857,1.035714286,425,3.035714286,37.79,-122.23,1.227
1.3281,40,5.054347826,1.081521739,564,3.065217391,37.79,-122.23,1.133
3.5156,44,5.466911765,1.154411765,961,3.533088235,37.79,-122.22,1.095
3.9048,52,4.998540146,1.00729927,2273,3.318248175,37.79,-122.22,1.647
3.0893,52,3.907692308,0.974358974,600,3.076923077,37.79,-122.21,1.25
2.6042,46,4.489563567,1.091081594,1647,3.125237192,37.79,-122.22,1.247
2.5,49,4.306603774,1.061320755,1201,2.83254717,37.79,-122.22,1.367
2.7969,38,4.626707132,1.078907436,2167,3.28831563,37.79,-122.22,1.417
2.8321,29,4.823529412,1.105882353,939,2.761764706,37.79,-122.2,1.5
2.9583,47,5.284246575,1.051369863,859,2.941780822,37.79,-122.21,1.388
2.8365,34,4.581395349,1.079457364,1517,2.939922481,37.79,-122.21,1.392
2.875,35,4.520725389,1.059585492,1143,2.961139896,37.79,-122.21,1.438
3.0682,39,4.316810345,1.077586207,1109,2.390086207,37.8,-122.21,1.565
3.0757,39,4.524663677,1.002242152,1221,2.737668161,37.8,-122.21,1.51
4.9559,43,6.692307692,1.096703297,1115,2.450549451,37.8,-122.2,2.73
4.7721,52,5.77238806,1.093283582,706,2.634328358,37.8,-122.2,2.171
3.4861,52,4.984419263,1.007082153,1883,2.66713881,37.8,-122.21,1.871
5.1184,41,6.088235294,1.041176471,804,2.364705882,37.8,-122.2,2.396
4.0977,48,5.242063492,1.043650794,506,2.007936508,37.8,-122.21,2.297
4.744,48,7.117647059,1.088235294,610,2.56302521,37.8,-122.19,2.573
4.2727,46,5.837349398,1.027108434,768,2.313253012,37.8,-122.19,2.469
2.9844,50,5.260869565,1.059782609,462,2.510869565,37.79,-122.19,1.799
4.1739,40,4.510638298,1.089361702,667,2.838297872,37.79,-122.2,1.696
3.8487,46,5.115288221,1.015037594,1059,2.654135338,37.8,-122.2,2.033
4.0114,52,6.545126354,0.97833935,637,2.299638989,37.8,-122.19,2.634
4.6563,45,5.986784141,0.99339207,1106,2.436123348,37.79,-122.19,2.318
2.9297,28,4.69955157,1.137518685,1737,2.596412556,37.79,-122.19,1.405
2.3036,35,4.620512821,1.176923077,1009,2.587179487,37.79,-122.2,1.26
2.6667,49,4.2,0.928571429,737,3.50952381,37.79,-122.2,1.22
2.619,44,3.301425662,0.920570265,1354,2.757637475,37.79,-122.2,1.347
2.4167,45,4.462025316,1.124472574,1530,3.227848101,37.79,-122.21,1.394
2.7788,45,4.210416667,1.1,1410,2.9375,37.79,-122.2,1.154
2.7352,46,3.934973638,0.892794376,1390,2.44288225,37.78,-122.21,1.373
1.8472,52,5.49070632,1.115241636,1065,3.959107807,37.78,-122.21,1.37
2.6583,52,4.310204082,0.914285714,792,3.232653061,37.78,-122.21,1.426
3.0536,49,3.665306122,0.995918367,779,3.179591837,37.78,-122.21,1.375
2.3906,44,4.86557377,1.163934426,2269,3.719672131,37.78,-122.22,1.117
1.7188,43,4.181818182,1.13022113,1227,3.014742015,37.78,-122.21,1.268
2.625,47,3.65560166,1.029045643,753,3.124481328,37.78,-122.21,1.113
2.8015,40,3.659259259,0.844444444,547,4.051851852,37.77,-122.22,1.148
1.7276,50,4.036363636,1.075,1807,4.106818182,37.78,-122.22,1.023
2.0801,44,3.38989899,1.038383838,1700,3.434343434,37.78,-122.22,1.319
2.489,51,4.165394402,1.178117048,1543,3.926208651,37.78,-122.22,1.191
1.7546,52,4.733333333,1.046666667,1085,3.616666667,37.76,-122.21,0.806
4.0904,52,4.313868613,1.262773723,353,2.576642336,37.77,-122.21,0.806
2.6765,52,5,1.026845638,473,3.174496644,37.77,-122.21,0.888
2.4338,49,4.703933747,1.031055901,1621,3.35610766,37.77,-122.2,1.024
2.3309,46,3.485875706,1.059322034,1183,3.34180791,37.77,-122.21,0.987
2.2604,43,3.671480144,1.184115523,836,3.018050542,37.77,-122.21,1
1.8039,42,3.543726236,0.965779468,900,3.422053232,37.77,-122.19,0.923
2.2562,39,5.00744879,1.111731844,1888,3.515828678,37.77,-122.2,0.948
2.0562,41,4.536656891,1.217008798,1024,3.002932551,37.77,-122.2,1.02
3.5398,52,5.437352246,1.047281324,1225,2.895981087,37.78,-122.2,1.584
3.1167,39,4.659574468,1.061170213,1071,2.848404255,37.78,-122.2,1.216
2.5401,50,4.939153439,1.066137566,1128,2.984126984,37.78,-122.2,1.291
2.898,43,5.020661157,1.037190083,1537,3.175619835,37.77,-122.2,1.214
2.3125,44,4.399491094,1.053435115,1240,3.155216285,37.78,-122.21,1.028
2.875,52,6.107142857,1.071428571,469,2.791666667,37.78,-122.19,1.6
3.3715,52,5.105882353,1.007058824,1086,2.555294118,37.77,-122.19,1.439
3.5114,52,5.585131894,1.067146283,1144,2.743405276,37.77,-122.19,1.512
4.3125,52,6.645333333,1.106666667,1109,2.957333333,37.78,-122.19,1.644
3.22,52,5.956639566,1.075880759,984,2.666666667,37.78,-122.19,1.565
3.875,33,3.021276596,0.659574468,575,12.23404255,37.78,-122.18,2.25
5.2328,49,5.660287081,0.980861244,496,2.373205742,37.78,-122.19,1.742
3.7262,52,5.631578947,1.015789474,555,2.921052632,37.78,-122.19,1.669
4.5893,45,5.400611621,1.01529052,869,2.657492355,37.78,-122.2,1.635
5.2578,39,5.820754717,0.896226415,236,2.226415094,37.79,-122.18,2.53
7.0875,41,6.593457944,1.088785047,626,2.925233645,37.79,-122.18,2.407
3.9712,46,6.410334347,1.176291793,922,2.802431611,37.79,-122.18,2.081
2.9514,47,4.80078125,0.94921875,582,2.2734375,37.79,-122.19,1.981
2.6667,50,4.746268657,1.07960199,546,2.71641791,37.79,-122.19,1.728
5.4446,37,6.176691729,0.984962406,620,2.330827068,37.81,-122.18,3.367
6.2838,34,6.948717949,1,442,2.266666667,37.8,-122.18,3.182
6.7527,23,7.06402439,1.024390244,955,2.911585366,37.8,-122.18,2.858
7.0712,24,7.589506173,0.978395062,916,2.827160494,37.77,-122.13,2.93
5.9849,22,6.528723945,1.041179461,4985,2.534316218,37.79,-122.16,3.71
3.6875,42,5.707865169,0.973782772,651,2.438202247,37.78,-122.17,1.573
2.875,30,4.731152205,1.06116643,1704,2.423897582,37.77,-122.17,1.353
3.4205,43,4.877149877,1.081081081,1085,2.665847666,37.78,-122.18,1.367
3.2984,50,5.781690141,1.133802817,713,2.51056338,37.78,-122.18,1.607
3.875,49,4.933701657,0.977900552,468,2.585635359,37.78,-122.17,1.406
4.175,52,5.396694215,1.05785124,296,2.446280992,37.78,-122.17,1.44
4.375,47,5.76146789,0.995412844,570,2.614678899,37.77,-122.16,1.619
4.7708,48,5.427777778,1.077777778,446,2.477777778,37.77,-122.16,1.563
3.5739,45,6.052083333,1.033854167,968,2.520833333,37.77,-122.16,1.76
3.0958,39,5.009493671,1.10443038,857,2.712025316,37.77,-122.16,1.458
3.3958,39,5.00621118,1.062111801,912,2.832298137,37.77,-122.17,1.419
1.871,31,5.362831858,1.17920354,1360,3.008849558,37.77,-122.17,0.907
1.9356,41,4.490140845,1.033802817,1074,3.025352113,37.76,-122.17,0.906
2.1842,47,5.544502618,1.081151832,965,2.52617801,37.76,-122.17,1.079
2.2917,37,4.921875,1.11875,933,2.915625,37.76,-122.18,1.07
2.4333,38,4.983050847,1.121468927,987,2.788135593,37.76,-122.17,0.982
1.9479,50,4.825203252,1.06097561,907,3.68699187,37.76,-122.18,0.895
3.9063,52,4.56969697,1.060606061,447,2.709090909,37.76,-122.18,0.938
1.8407,49,5.11751663,1.002217295,1299,2.880266075,37.76,-122.18,0.967
2.0786,27,5.789808917,1.503184713,396,2.522292994,37.77,-122.18,0.975
2.8125,42,4.402985075,0.958955224,877,3.27238806,37.77,-122.18,0.973
1.8913,43,5.498637602,1.111716621,1111,3.027247956,37.76,-122.18,0.912
1.7056,49,5.085501859,1.048327138,790,2.936802974,37.76,-122.19,0.914
2.2768,52,4.953068592,0.987364621,1479,2.66967509,37.77,-122.18,0.962
3.2552,51,4.810502283,1.075342466,1173,2.678082192,37.77,-122.18,1.201
2.0556,52,4.775956284,0.989071038,1029,2.81147541,37.77,-122.18,1
2.4659,52,5.782857143,1.117142857,1030,2.942857143,37.76,-122.19,0.947
1.75,47,4,0.928315412,826,2.960573477,37.76,-122.2,0.857
2.0469,41,4.484581498,1.123348018,1412,3.110132159,37.77,-122.19,0.893
2.7159,45,5.306590258,1.126074499,1132,3.243553009,37.77,-122.19,1.014
1.2083,41,5.79245283,1.301886792,522,3.283018868,37.76,-122.19,0.725
1.925,45,4.198312236,1.004219409,630,2.658227848,37.76,-122.19,0.741
1.5809,36,4.556390977,0.992481203,531,3.992481203,37.75,-122.2,0.7
1.4097,37,4.017991004,1.103448276,1925,2.886056972,37.76,-122.2,0.846
0.7683,38,4.253561254,1.054131054,1144,3.259259259,37.76,-122.19,0.818
1.3194,19,4.244230769,1.086538462,1481,2.848076923,37.75,-122.19,0.814
0.8012,28,5.283950617,1.166666667,435,2.685185185,37.75,-122.19,0.818
1.9479,26,4.267326733,0.98019802,984,3.247524752,37.76,-122.19,0.858
1.1765,36,5.327044025,1.333333333,567,3.566037736,37.74,-122.19,0.871
2.3456,42,4.398373984,1.25203252,380,3.089430894,37.74,-122.18,0.835
2.1538,44,4.368852459,1.036885246,825,3.381147541,37.73,-122.19,0.797
2.5139,43,4.561290323,0.948387097,417,2.690322581,37.74,-122.19,0.834
1.2625,45,5.324041812,1.013937282,801,2.790940767,37.73,-122.19,0.847
2.9063,42,4.590909091,1.085858586,646,3.262626263,37.73,-122.18,0.8
2.5192,43,4.880701754,1.028070175,855,3,37.73,-122.18,0.764
2.1111,44,4.029411765,0.875,435,3.198529412,37.73,-122.18,0.797
2.455,42,5.223076923,1.120512821,2736,3.507692308,37.73,-122.18,0.824
2.4028,41,3.896135266,1.074879227,1481,3.577294686,37.74,-122.17,0.977
2.15,47,3.379562044,0.97810219,327,2.386861314,37.74,-122.17,0.972
2.4776,43,4.569832402,1.078212291,494,2.759776536,37.74,-122.17,1.016
2.1587,43,4.319648094,1.08797654,1231,3.609970674,37.73,-122.17,0.865
1.8438,35,4.623853211,1.155963303,323,2.963302752,37.74,-122.18,0.905
3.0298,46,4.56,1.004444444,749,3.328888889,37.74,-122.17,1.076
2.25,46,4.320224719,1.028089888,693,3.893258427,37.74,-122.17,0.842
2.2467,46,5.940677966,1.104519774,1339,3.782485876,37.74,-122.18,0.889
4.0469,45,4.125,0.95,282,3.525,37.75,-122.18,0.807
1.325,46,4.825641026,1.117948718,621,3.184615385,37.75,-122.18,0.871
1.6196,38,3.83011583,1.077220077,732,2.826254826,37.75,-122.17,0.851
2.1731,45,3.807692308,1.003846154,901,3.465384615,37.75,-122.18,0.82
1.9167,36,7.506666667,1.753333333,482,3.213333333,37.75,-122.19,0.828
2.069,43,4.863849765,1.093896714,652,3.061032864,37.75,-122.18,0.846
1.712,36,6.307228916,1.289156627,651,3.921686747,37.75,-122.18,0.821
2.5625,33,4.475524476,1.073426573,999,3.493006993,37.76,-122.17,0.893
1.9821,43,5.18627451,1.045751634,907,2.964052288,37.75,-122.17,0.983
