target,text
complaint,"I try to check in 45 mins b4 my flight, you won't let me on, and you want me to pay $1k to rebook? Worst cust service ever."
complaint,"Worst. First class. EVER. If you ever thought I want to pay twice the price for no reason whatsoever, I highly recommend "
complaint,sitting in 1a on emb-145. Have a small backpack and flight attnd will not put it in their closet. bag is now in row 8. No CService
complaint,chg for bag w/ delta amex. horrible delays. bad experience!!!!!
complaint,went on a trip to Vegas and you guys ruined my brand new suitcase by breaking my handle &amp; putting a hole in it #firstclassmya**
complaint,what has happened to the iOS app?  Practically unusable!  Constant repeating errors.
complaint,"bruh never fly  ever, consistently terrible"
complaint,it's disgraceful the way  &amp; all the other passengers going to Cape Verde yesterday have been treated.
complaint,the captain of this plane rocks. New crew is questionable. Maintenance mishandled issue. Switched planes. Nightmare. Flt 1160
complaint,customer service fail AA237: passengers wait on bus while crew takes pics and unsafely climbs on engine
complaint,Thank you  for delaying my flight. There's nothing I want to do more then sit at a gate for another few hours.
complaint,your at airport check in process is a disaster.good thing you have good employees as your automation system is a joke
complaint,"A little disappointed. Cancelled my flight around 0100, making me take a longer flight, and no upgrade..."
complaint,"Everyone, do your self a favor and never fly  #alwayslate #aasucks never fly #americanairlines what a waste of time and money"
complaint,"Thanks  for making me gate check my carry on bag that would have fit, and then breaking it. Really nice!"
complaint,diamond customer unhappy with closed lounges and long delays in Joburg
complaint,Disappointed with cust service  All those years of loyalty amount to nothing when trying to fix mistake you made #BadCustomerservice
complaint,Hey  thanks for all the trouble on my trip. Your Raleigh Durham crew is heartless and cruel.
complaint,just refused my handicapped daughter a preboarding pass.  Decided they knew what she needed more than her mom.
complaint,bad experience for gold customer.   Had to wait 45 minutes to get free bags
complaint,Had a great start to spring break experiencing  customer service at its finest. Hint: that's sarcasm.
complaint,y'all got some ******* pilots flight 1837 EWR got delayed like 3 times cuz the ****** pilots didn't feel like showing up. $$$$????
complaint,"Canceled flights, many connecting flights and lost luggage, a solid day thanks to  Ã°Å¸â„¢Æ’"
complaint,"theres an error while checking in via the app, on the update us address page, for intl travel, cant get past it"
complaint,"took my expensive  carry on, somehow put it into baggage from and now it's gone?"
complaint,2 delayed flights in 4 days. LGA-&gt;PBI and PBI-&gt;LGA. #frustrated #flightdelays
complaint,system avoiding customer service issues: don't provide any after same-day flight cancels. #poorDon
complaint,has got to be the absolute WORST airline in the world. I am so fed up with their horrible/scattered customer service!
complaint,has us on the Tarmac for over 40minutes! I've missed my connecting flight ! This is ****** service  !
complaint,Thanks  for delaying my flight FOUR times today already. #theworst
complaint,I've got a bone to pick with you guys...absolutely terrible service right now.
complaint,"So disappointed w LHR-JFK in AA business on bday! V old plane, changed w/o notice. No outlet, wifi, flat bed &amp; poor service."
complaint,"your staff is going to make me miss my flight, this is unacceptable!"
complaint,thanks  for canceling my flight with reserved seats and giving me a new flight with literally the worst ones now I can't sleep!!
complaint,"Hour and a Half Delay, Air Conditioner on the Plane was not working and now bags don't come out at Baggage Claim. Come on "
complaint,DM me to fix this! #wtf #deltasux
complaint,you have ******* over your passengers again. #notsurprised
complaint,To who it may concern: There are 8 Americans trying to fly your airline STUCK in Dominican Republic. AA sucks. Never again!
complaint,My breakfast salad is awesome!! The hard cold chicken not so much. :/ #AA860
complaint,"Big  fan, but pretty frustrated by a 2 hr delay due to pilot scheduling after my flight yesterday was also delayed"
complaint,"worst of the worst!  Boone tix a month ago, made our 7 &amp; 9yr old sit by themselves on a 5+ hour red-eye... Never again"
complaint,Thx for making my life hard
complaint,thanks for not responding to my request for help. Glad you care about Diamond Medallion members. #badservice #deltafail
complaint,IAH-LAX first class.... No preflight beverage service and dirty seats.   Continuing to disappoint
complaint,Was told I'd have my bag at 2A. 2:16A and no bag. Had a rep hang up on us and nobody else has any answers. This is absurd.
complaint,"What an incompetent #airline!  How they stay in business? Never, ever will fly them again!!!"
complaint,"This was a Birthday vacation trip for my grandmother who has never flew before, she had to experience the worst!"
complaint,So sick of  messing up/cancelling/delaying/rebooking my flights into and out of San Francisco Ã°Å¸â„¢â€žÃ°Å¸â„¢â€žÃ°Å¸â„¢â€žÃ°Å¸â„¢â€žÃ°Å¸â„¢â€žÃ°Å¸â„¢â€ž
complaint,"I appreciate the variety of delays  provides. Thus far my flight home has experienced equipment, weather, and too much fuel."
complaint,is trying to bumb me out of the flight bcoz of over booking. I will take this legally. JFK to RDU
complaint,customer service wins again! We are delayed from GCM to CLT. We get two connections tomorrow to DFW. Shame on you!
complaint,"After my experience dealing with your change policy &amp; customer service, I will never fly American Airlines again."
complaint,I hour 20 minutes on hold for customer service.  Hang in there. Keep redialing if u get busy signal
complaint,Flight delayed DEN &gt; OMA 4 hours. Getting homework done but the prospect of waking up @ 3am tomorrow is seeming daunting.
complaint,Why would you oversell a flight 20 seats over? This is absolutely ridiculous
complaint,you and your customer service is the worst
complaint,you guys are horrible ! You need to do better job with customer service !
complaint,So disappointed with my  travel yesterday! I'm sorry I betrayed you  again!!!
complaint,why did I bother to fly American?!? Delayed again bc we are told UA1838 to mco doesn't have a plane or crew. #worstever
complaint,it's 3 days since you ruined my family's spring break vacation and STILL no call from customer relations! Unbelievable!
complaint,Shoutout to  for being the worst airline on the planet #freeHanna
complaint,Just learned that AA doesnt hinor the 24 hour ticket change grace periodmthat other airlines do ... last time i fly with them
complaint,"you need to allow all 1K, million milers into your llounge #changeyourpolicy #providebetterservice to  your ff. Not happy"
complaint,"I can't check-in on your website. Though i have a correct reservation code, a message tell me you cant find my reservation."
complaint,spent $8 on wifi and it didnt even work the whole 3 hour flight thanks
complaint,a 3.5 hour drive in poor weather because their CS refused to assist her. This is pathetic.
complaint,your handling of flight 852 this am shows what a joke airline you are.
complaint,this has 2 b the worst experience I have ever had with a airline. 2 nights witout luggage &amp; sent 2 anotha country! #badservice
complaint,Buy inflight wifi on  to watch #MarchMadness games....find out it doesn't even allow u to do that...#WasteOfMoney #SoDumb #Smh
complaint,Delayed for an hour. I could have been getting my cuddle on  Ã°Å¸â„¢â€ž
complaint,My dingy bed brings back memories of other times  failed at service. Such a proud tradition.
complaint,4 delays later... 4. &amp;&amp; I'm still sitting in this airport. GET IT TOGETHER 
complaint,hey  you suck
complaint,"At DCA airport, the worst airline  rude, bigoted, chaotic. Missed flight although 1hr b4 flight.Do not fly them."
complaint,to top off an already awful  experience the bag claim is madness as well at
complaint,"continuing, 4 of 5 check-in computers didn't work, no one to help, horrible signage for TSA. Took 45min to get though."
complaint,The frustration of poor  service. Ã°Å¸Ëœâ€“
complaint,"Terrible baggage service  , not the airline you want to depend on when there is a mishap. Terrible customer service."
complaint,really disappointed with your service. Your crew changed my seat *as I boarded* to the back row with no leg room. I'm 6'2.
complaint,"- coming in to LGA- flight toilet broke(?), delayed by 9+hrs, gate was not available, ramp luggage belt broke! All in one trip!"
complaint,should be ashamed @ their customer service! No one knows a **** thing! Thanx for putting us out $1500-will NEVER fly SWA again
complaint,The video  is showing to welcome passengers is odd. It doesn't make me want to go to Hawaii.
complaint,Have been trying to book a flight through  for the last hour &amp; keep getting the same error message...ready to book with someone else
complaint,I ended up sobbing at the desk and they finally booked me a flight to Ontario instead of LAX. never using them
complaint,****  customer service!
complaint,"delayed on AA2398, bummer Ã°Å¸â„¢Â"
complaint,Cancelled our flight 1:45 minutes ago and still waiting for you to return our bags. #horribleservice
complaint,Why is #5829 from DFW-OKC delayed? Total hrs delayed today: 5 hours for 2 flights. Unacceptable Ã°Å¸ËœÂ¢Ã°Å¸ËœÅ“Ã°Å¸ËœÂ«Ã°Å¸ËœÂ¡
complaint,"worst travel experience of my life at SJO, been stuck and rebooked 5x for a total of 11 hours."
complaint,"Absolutely hellish experience on  right now -- four hour delay due to string of mishaps, and now stuck in endless CS line. Help!"
complaint,Worst flight in my entire life  Rough bump two flight attendants injured landed in Buffalo now. Two hour delay no attendants.
complaint,- Love SWA but having horrible experience trying to get a medical-related refund. Been 2 months. Please help.
complaint,Still waiting to speak to anyone from Customer Relations regarding our refund for a flight you canceled in Dec 2015. Ridiculous
complaint,"the #worst #service  colombia. Long lines, the machines do not print all the boarding passes, and ask tons of questions."
complaint,man you guys are awful. You have my senior grandparents stuck on a plane with no food. What the ****
complaint,Thank you employee Juliette  LAX 4 trying to ruin our vacay b4 it began. Guess 1st class doesn't include customer service.
complaint,Gets better. Jet way is broken. It's stairs off the plane. I hate #LGA. And  not having a good landing
complaint,just got denied milage credit. I flew  one of your partners. Care to explain. Your email was not good enough.
complaint,Missing flying  tonight.  customer service seriously lacking (@ LaGuardia Airport (LGA))
complaint,"Leave it to  to board us, and then shut off the air and perform maintenance on the plane. Thanks guys!"
complaint,it's actually impressive how bad your customer service is. When did you start hiring angsty teens to answer the phones?
complaint,Can officially say I will never fly  again and will forever stick with
complaint,when ur plane has been delayed by 4+ hours for plane maintenance and ur so done with  Ã°Å¸â„¢â€žÃ°Å¸â„¢â€žÃ°Å¸â„¢â€ž Ã°Å¸â„¢Æ’Ã°Å¸â„¢Æ’Ã°Å¸â„¢Æ’Ã°Å¸ËœÅ Ã°Å¸ËœÅ Ã°Å¸ËœÅ Ã°Å¸â€“â€¢Ã°Å¸ÂÂ»Ã°Å¸â€“â€¢Ã°Å¸ÂÂ»Ã°Å¸â€“â€¢Ã°Å¸ÂÂ»Ã°Å¸â€“â€¢Ã°Å¸ÂÂ»
complaint,"is a HOT MESS. I'm so disappointed I chose this airline, and I will definitely be filing a complaint."
complaint,I know one thing if  doesn't do something to fix this imma go crazy my vacation is ruined and it has barely even started!
complaint,Thank you to *RS for the help. Ã°Å¸Ëœâ‚¬ Wish the DTW  Gate 68/59 staff had been as helpful and professional.
complaint,FRAUDULENT CHARGES ARE BEING MADE FROM CREDIT CARDS USED WITH YOUR COMPANY!!!
complaint,worst customer service experience of my life. 38 minutes on the phone with Joy and Stevie. AA Messed up my seat. Fail!
complaint,Customer service at  is a joke . 3 people working to serve over 100. #worstairlineever #united
complaint,More than an hour extra time in the air and delays at DAL. My whole day's schedule is messed up. I demand a refund. #fail
complaint,Endless line at  rebooking center in MIA. Awful company. Doesn't care about customers. Gov shouldn't have let it merge w US AIR!
complaint,43 minutes on hold and counting? I expected much better. #disappointed
complaint,27 minutes and counting and one quick update long ago. When did  start to hate its customers?  #terrible
complaint,Not only did  put my bag on the wrong flight but it was damaged in the process! #nocompensation #thanksfornothing
complaint,Why is flying with  always so frustrating? More delayed flights than any other airline I've flown. #SFO #unitedairlines
complaint,Flight cancelled- can't get luggage. Stuck at Logan for hours.  Not a fan.
complaint,Everyday I am grateful to people who do customer service.  my gate attendant at DCA was lovely despite rude customers.
complaint,upgrades for the nightmare? Flight 419 #mxp
complaint,you had ALLL night to get your planes ready to fly. Deplaning at 6am so you can get your s*** together is unacceptable!!!
complaint,. i not only have speak to someone on the phone but ALSO go online to request a refund for a fully refundable fare? #Redundant
complaint,"I hate  !! Delay  (of course), will miss connection and no later flight. #americanairsucks"
complaint,Huge sympathy for my parents as they've arrived at  to be told there's an 11hr delay!    #TOM032
complaint,this is just chaos. and why i don't fly  at least lines would be efficient. #AA898
complaint,flight #aa2070 delayed 1:15 because they can't measure fuel
complaint,now this on our return flight.4368 STL-EWR.Guess cant expect change in3 days.#United #unitedfail #dirtyplane
complaint,held 1st class saver to AKL after searching all day only to find out the short seg is 1st and long seg is economy....wtf  #fail
complaint,I have not been a fan of my  experiance. Nor the  experiance. Awful. I hope I never fly through here again.
complaint,is there anywhere private where I can scream and cry  Only asking since I'm stuck here until midnight because you ******* up
complaint,Thank you  for breaking the handle on a new piece of luggage.
complaint,Having the worst flying experience I've ever had with  should have taken off three hours ago Ã°Å¸ËœÂ©
complaint,disappointed flight canceled to Dallas on hold then a survey lost 1 day #terriblewaytostarttheday
complaint,what a who can help meÃ¯Â¼Å¸
complaint,never in my life have I experienced such rude terrible cx
complaint,cancelled flight due to weather and will NOT be reimbursing passengers for any costs. Will never fly #unitedairlines again. Terrible
complaint,"Because I'm delayed by  this morning, I nominate them for #WorstAirline"
complaint,Now the next flight is delayed because someone else was upset by the #customerservice  #coincidence
complaint,1hr layover turned into a 3hr layover and counting due to plane maintenance. Cool  way to ruin the start of my vacation. \U0001f621
complaint,my boys are going to sleep in the airport because of a rude boarding check in lady
complaint,My vacay is ruined. The  inside of my hotel in dirty clothes wasn't my plan for this romantic getaway.   Same clothes for days
complaint,By  ... Something doesn't look right here #frustrated
complaint,attendant wouldn't admit we were late but the text updates did. Also didn't have wifi on the plane
complaint,Thank you  for you inconsistent baggage policies on your emb-145 planes.  #canyougetmuchworse
complaint,Flight had a weather delay. Plane came. A human error occurred and the plane had too much jet fuel put in it. What the heck  ?
complaint,doing a very lousy job trying to rebook a missed connecting flight even after their flight delayed #fail
complaint,business class flight attendants on DL445 could use an early morning attitude adjustment. Rude awakening on my 7am to SLC
complaint,$275 in change fees to pay more for a ticket and you delay flight 2 hours. Shame on you. Write me a check. My hourly rate in $1500
complaint,transphobia on flight UA4302 is unacceptable.
complaint,Mr Parker needs to be fired...CEOs of worst airline ever BAD CULTURE starts at the top
complaint,1.    Really sucky service to put it mildly. I live for my moments of my flight. Called your call center and requested
complaint,another epic fail. Board group 1 only to deplane for 81 min delay to find pilots??  Didn't u know you needed them b4 now?
complaint,"we are waiting for a family with a baby from NY to BOG since yesterday, who is the  customer care!?No answer,still in NY"
complaint,I'll never fly  again
complaint,I am in LAX and the employees literally just debated over what kind of line this was.
complaint,Six and one half hours for  to cancel our flight.  That was 9 hours at airport today. Thx guys. You are horrible!
complaint,Very disappointed with the service in delhi. Rare to encounter such pathetic staff even in the worst airlines
complaint,#united1115 We have been delayed for 30 min for some passengers. United usually never waits for others
complaint,I have had the rudest help ever on the mileage plus hotline!
complaint,#DeltaAirlines   Flight delayed due to navigation issues. Missed Connecting. No compensation Come on Delta airline?
complaint,"is by far the worst customer service I've ever had. If you have a chance to fly with anyone else, do it. #wherearemybags"
complaint,"Took a red-eye from LAX to Tampa. Never again!  Staff was so loud,  we couldn't sleep. #inconsiderate Diff. Airline maybe"
complaint,Thanks  for 9hrs of flying with no entertainment and prison food snacks
complaint,have avoided the *terrible* new security questions setup for  but now am forced to do it. Find all answers on my FB profile! :)
complaint,#airlines usually #overbooked usually #delayed usually #unfriendly crew. #NeverAgain
complaint,Thoroughly disappointed with  Terrible service and seating
complaint,Hey  this link doesn't work on your site. Page not found.
complaint,Thank you  you just made me loose my flight. Not even online check in worked.
complaint,Days later waiting to hear from  for awful customer service I received this weekend; never issued my tkt but spent my voucher
complaint,"major fail last night in CLT. Broken jetbridge, incompetent gate agent who 'forgot to set' her watch ahead &amp; was giving misinfo"
complaint,another bad experience
complaint,Explain to me why your plane is delayed 3 hours without explanation?! #unhappycustomer
complaint,2nd time I've flown  2nd time flight delayed 2 hours. Probably last time being nickel &amp; dimed. Should've
complaint,terrible flight. Pilot informs passengers viper stuck on windshield. flying low slow. #Patheticservice #dctodetroit #morecoming
complaint,thanks for sucking
complaint,your MIA transfer staff just rude rude rude as an ex-employee ashamed!
complaint,thanks for taking my carry on away because the top is too full when it is empty... 
complaint,"yet again, customer service changes something from 1 yr to the next &amp; it makes it more difficult for the customer.Be consistent"
complaint,"ruining my day, delaying my flight 2 hours Ã°Å¸ËœÂ­ probably won't be home until 3am now"
complaint,Flight 154 NRT to ORD cancelled. NO help from  Passengers left on their own. LAST time I'm flying with this airline.  YOU SUCK!
complaint,and your customer service is horrible. I'm so dissapointed. You will never fly with you guys again
complaint,1242 just got a delay message to 4:30.  Is this going to be a rolling delay until all clear?
complaint,"nice job on the TUS-DFW delayed flight, promising overnight accommodations, then saying 5 hrs later that none will be available"
complaint,no need to worry we won't be flying delta airlines ever again
complaint,#customerservice again we r stuck. Delayed overnite in Dallas and lost 1st class seat need help
complaint,I was just on flight 4858 from RAP to MSP and paid for wifi before leaving but it didn't work the entire flight :/.
complaint,are you seriously ruining my parents' 48th wedding anniversary on their trip back home?\n#shame\n#AmericanAirlines\n#Chicago
complaint,I am so so sorry for cheating on you and flying  We are stranded and they refuse to help Ã°Å¸ËœÂ­ I miss good service
complaint,The unfriendly skies of United Airlines   #rude the bad consistency of  #UnitedSucks
complaint,You guys are my friends but the WiFi is just awful...
complaint,"all I see is delay, delay, delay, delay, hope, delay. Now it's 10:30 and the plane has yet to depart..."
complaint,I'll be cutting up my  card the moment I get home. If I ever get home. You have ruined so many parts of this trip.
complaint,flight delayed out of LGA for going on 2 hrs due to maintenance and AA's communication has been very poor thus far. #badservice
complaint,Thanks to  I've spent all day hanging with my mama before she goes home tonight instead of wasting time traveling. Ã°Å¸â€˜Â
complaint,"50,000 AA Miles to get free ticket from DFW to Newark in June? The loyalty program has absolutely gotten worse!"
complaint,been waiting for almost 30 min. At baggage claim waiting for our bags can u guys step up yalls game ppl have lifes
complaint,.. Is being extremely rude to everyone. I am so disappointed. Great way to make travel comfortable for overseas military family
complaint,to customer experience. This is a very serious problem you guys are experiencing.
complaint,Flightmare   Vacation gone to ****. Lied to by the staff. Forever to collect luggage and rebook. #neveragain.
complaint,So disappointed with  and  The chaos caused me to miss my flight when I had arrived 2 hours in advance!
complaint,**** you and your ****** airline you should be ashamed of yourself
complaint,just cancelled a flight for someone purchased on my cc. Not only did sw not refund my money but gave miles to passenger wtf
complaint,Good Morning! First  flight cancelled. Thanks to  for keeping your 7am. Philadelphia today.
complaint,I called and your system is down so agents on phone can't help. Liars.
complaint,Wow  has some issues! right now planes are being super delayed all around us..Last one got delayed because their toilet is busted
complaint,Let's get it together  CLE to Phoenix- delayed. Now Phoenix to San Francisco delayed. Really?
complaint,Dear  you are a rip-off &amp; u are ruining my day at this airport! Thanks for nothing!
complaint,Terrible!  
complaint,can't believe how poor both your customer service teams are. What does it take to get a proper answer?
complaint,"Lesson learned from this trip: don't fly  internl, if you plan on using #TSAPrecheck. Forgot what going thru security is like."
complaint,Learned my lesson.#1 DONT EVER FLY #2 pack a carry on.#3 fly  they have more experience &amp; know how to treat their customers
complaint,"is ur entire customer srvc dept now in foreign countries where you train them to say, sorry we can't help with that? #Disappointed"
complaint,is absolutely the worst airline. your customer service is horrible #yougetwhatyoupayfor now using  for life
complaint,"Very disappointed with  #airtravel.  Bad service on 14 Mar 16 Flt 184 to SEA, especially getting a dirty can.  See next post..."
complaint,sucks.  Will never fly them again.
complaint,delays in El paso now delays in Dallas you all are getting really bad.  had good $ but could not cancel SWA #bad
complaint,making it hard 2 reunite with my best friend because or your terrible customer service #customercare #youredoingitwrong
complaint,is the worst. Any other industry and they'd be out of business
complaint,"If anyone else is interested in letting  know how bad the service is, here's the CEO's email: oscar.munoz #flydelta"
complaint,I have never felt so disrespected by a company. After being on the phone for 2 hours they are trying to charge me an extra $700...
complaint,Worst airline experience I've ever had with  9 hours trying get from CPR to DEN. Terrible airport customer service.
complaint,well this trip has been a catastrophe. 2 hour delay with equipment change and now new plane is out of service. #AAsux #aagold
complaint,Sitting on the tarmac for 2 hours because they put too much fuel in plane. Thanks
complaint,Great way to end honeymoon. Delayed flight. Missed connecting.Stuck in CLT overnight. Denied hotel to half passengers.#rude #bs
complaint,"4 hour delay??? Seriously  the vouchers are appreciated, but can't get the time back for vacation..."
complaint,Don't expect any action from  on twitter. This is just therapy for unhappy customers. Your situation will not change. #wasteoftime
complaint,please compensate the passengers of flight 1366. This service is abhorrent.
complaint,hours spent at bradley international 5 (and counting)
complaint,"Hey,  thanks. I will do my best never to fly you again. Your airline is the worst, the worst. Miss"
complaint,I have never experienced such utter dysfunction with any company as with United CS.
complaint,Disgraceful getting to Killeen from Dallas today.
complaint,YOUR SERVICE ******* SUCKS
complaint,well what a ******* surprise!  delayed by nearly an hour. I literally havent had a single flight with them without a delay.
complaint,I cannot believe how disgusting your terminal is. Absolutely garbage.
complaint,"If PLTs get upgraded 72hrs in advance, why am I still waiting on an upgrade 17hrs out while 1st class seats are still for sale?"
complaint,I am forwarding you the passenger info you requested regarding United dishonoring service personnel: 
complaint,you have no respect for passengers who have commitments and places to be. Truly a trash airline! I will never fly Delta again
complaint,Come on  don't make our team miss their connex &amp; have to cancel trip AGAIN b/c flight is delayed. #TwoTimes
complaint,You need to start being more transparent with your customers...not fooling them they will get by on standby.
complaint,Cherry on top was the employee at the desk who made fun of me for asking for directions after un-boarding. So not impressed.
complaint,first class and sky priority bags and two dog crates not unloaded off of Delta 1596 (LAX to SJC).  still waiting 45m later.
complaint,Hey  this is what u put people in when u can't make a timetable work? #mold #disgusting #unitedsucks
complaint,"Won't change our flight or help us out in any way shape or form, worst customer service I've experienced"
complaint,Exactly why I don't fly  my friend is military on order in Tuscon they just made her pay $150 for her bike! #Bad4Biz
complaint,Thank you  for Ruining our honeymoon. Your system failure on 4/18/16 forced us to reschedule our long awaited getaway.
complaint,"In the past 4 hours  has lied to me, hung up on me, and absolutely ruined my night! #dontflyunited #unitedistheworst"
complaint,At least when  is going to **** up your day they send you a text first. Thank goodness for airport bars.
complaint,Never flying  again. Perfect weather and Flight 1890 still delayed? Flying Delta next time for sure.
complaint,A new record for  . Over one hour on the phone... you guys must really want me to start flying American...
complaint,I'm highly upset that you guys lost my luggage and displayed less than excellent customer service when I needed help 
complaint,"Today is a great reminder of why I stopped flying  Nonstop flight removed from schedule, rebooked flights delayed. No useful info."
complaint,NEVER BOOK A FLIGHT WITH  THEY WILL CANCEL YOUR PAYMENT AND STILL CHARGE YOU #AMERICNAIRLINES
complaint,do you see flights in the air to #DFW being delayed? Flight 545 specifically
complaint,Delta if you put the seats any closer we will be sitting on each other.  Totally unacceptable.
complaint,en route to  ? don't fly  delayed flights and lost luggage via old planes.
complaint,has offered $100 voucher but refuses to address my financial losses due to a full day of delays. Next step is small claims.
complaint,"3+ hour delay for my SFO-JFK flight home.  At least  let us know 4 hours before departure, but...still.  Sigh."
complaint,My soon to be wife has 2 put her dress in &amp;overhead bin? Expect a little more out of you guys.Hopefully it doesn't get ruined
complaint,". I will be informing ALL of my friends and family members about your HORRENDOUS customer service, disgusting"
complaint,My award booking page just glitched and a 30K award flight went to 85K magically in under 1 minute. WTF! I call ********!
complaint,Thanks  for not notifying me that I would miss my connecting flight. I'm so looking forward to being home at 1am Ã°Å¸ËœÂ¡
complaint,". I'm very disappointed in the service I received from one of your associates, who transferred me to  regarding my club passes"
complaint,just once it would be nice to travel on your airline and not have a delay! Flight Attendant Credentials?! Really?!
complaint,can you teach  how to take care of their customers?? #actionsspeaklouderthanwords
complaint,"Thanks for my free drink tickets, but I'm still waiting for   on your flights. No alcohol for me. #sober"
complaint,is the worst airline ever. I'm not flying with them today.. Just had to remind everyone.  is where it's at Ã¢ËœÂºÃ¯Â¸Â
complaint,Shout out to  for the worst flying experience of my life
complaint,"I give up. Guess I just have to hope, contrary to my experience so far, it will be ok when I get there. Thanks for nothing."
complaint,I pay for upgrades and am rebooked on another flight and that all negates? Poor customer service. Never again. First and last.
complaint,Thank you    for charging me $100 to fly my #MILITARY bag today. Ã°Å¸Ëœâ€™
complaint,has to be the worst airline to fly with little kids. #iflyalaska  because they actually like kids. #notkidfriendly
complaint,This is the biggest cluster f**k of an airline that I've ever flown on.......flight 3357 out of Dallas...   Terrible....
complaint,I got my suitcase off of the baggage claim and it only had 3 wheels. Thanks   Ã°Å¸ËœÂÃ°Å¸ËœÂ
complaint,flew last week and used gogo wifi it was miserable. I finally gave up due to crazy slow speed.
complaint,frustrated w/ airlines. Giving ur customer a run arnd w/no one willing to help chnge flight trvl date. Poor cyst svc. No care
complaint,shame on you for #racialprofiling your crews are consistently rude passive aggressive and provide substandard service
complaint,pathetic breaking family together to 2 different flights #common#sense#
