ID,SALARY,START_YEAR,GENDER,REGION,T-LEVEL
100099,175302,1994,f,EMEA,T5
100100,155532,1992,f,APJ,T5
100101,131028,1994,f,EMEA,T5
100102,129202,1993,m,EMEA,T5
100103,169710,2001,m,NA,T5
100104,154314,1997,m,EMEA,T5
100105,183849,1992,f,APJ,T5
100106,174946,1999,f,APJ,T5
100107,168134,1998,m,NA,T5
100108,141704,1996,f,NA,T5
100109,167300,2001,m,EMEA,T5
100110,135777,1992,f,APJ,T5
100111,136726,2000,m,APJ,T5
100112,144847,1998,f,NA,T5
100113,171991,2000,m,NA,T5
100114,135604,1999,f,APJ,T5
100115,149725,1991,f,EMEA,T5
100116,150439,1989,m,EMEA,T5
100117,154039,1994,m,EMEA,T5
100118,126960,1994,m,APJ,T5
100119,192478,1996,m,APJ,T5
100120,188839,1990,m,NA,T5
100121,177684,1989,m,NA,T5
100122,145014,1997,m,EMEA,T5
100123,193786,1993,m,APJ,T5
100124,165278,1999,f,NA,T5
100125,184013,1995,m,EMEA,T5
100126,179200,2000,m,APJ,T5
100127,184008,1993,f,NA,T5
100128,155757,1995,f,APJ,T5
100129,138869,1998,f,APJ,T5
100130,137532,1996,m,NA,T5
100131,189726,1997,f,EMEA,T5
100132,144449,1996,m,EMEA,T5
100133,157331,1996,m,APJ,T5
100134,180492,1991,f,APJ,T5
100135,144917,1992,f,APJ,T5
100136,184338,1993,m,APJ,T5
100137,178992,1996,m,EMEA,T5
100138,174619,1989,f,NA,T5
100139,162178,1994,m,EMEA,T5
100140,136625,1992,f,APJ,T5
100141,164941,1997,f,NA,T5
100142,185518,1997,f,EMEA,T5
100143,188080,2001,f,APJ,T5
100144,144344,1996,m,APJ,T5
100145,158452,1992,f,NA,T5
100146,167977,1995,f,EMEA,T5
100147,170057,1993,m,APJ,T5
100148,155369,1994,f,NA,T5
100149,132537,1996,f,NA,T5
100150,152570,1996,f,NA,T5
100151,167562,1997,f,NA,T5
100152,151190,1995,f,NA,T5
100153,191312,1994,f,APJ,T5
100154,160445,1992,f,APJ,T5
100155,141023,1995,m,NA,T5
100156,161795,1998,f,NA,T5
100157,166560,1999,f,EMEA,T5
100158,135623,1997,m,EMEA,T5
100159,161960,2000,m,APJ,T5
100160,186881,1996,f,NA,T5
100161,171421,1992,m,NA,T5
100162,135348,1996,m,NA,T5
100163,152218,1992,m,EMEA,T5
100164,127913,1992,m,NA,T5
100165,140214,1995,f,NA,T5
100166,162186,2000,m,NA,T5
100167,150980,1995,m,APJ,T5
100168,166708,1992,f,EMEA,T5
100169,179944,1994,m,EMEA,T5
100170,162270,1998,f,APJ,T5
100171,130985,1990,m,APJ,T5
100172,169112,1994,m,EMEA,T5
100173,174491,1997,m,APJ,T5
100174,188866,1993,f,APJ,T5
100175,162742,2000,m,EMEA,T5
100176,140824,1994,f,NA,T5
100177,159392,1995,f,NA,T5
100178,150139,1996,f,APJ,T5
100179,175902,1995,m,EMEA,T5
100180,152513,1993,m,NA,T5
100181,155904,1992,f,APJ,T5
100182,136420,1991,f,EMEA,T5
100183,131758,1991,f,EMEA,T5
100184,152317,1993,m,EMEA,T5
100185,112181,1995,f,APJ,T5
100186,158042,1994,f,NA,T5
100187,129555,1997,m,APJ,T5
100188,132446,1996,f,NA,T5
100189,147971,2000,m,EMEA,T5
100190,166313,1996,m,APJ,T5
100191,134237,1994,f,NA,T5
100192,116282,2001,f,APJ,T5
100193,162037,1994,m,EMEA,T5
100194,160026,1989,m,EMEA,T5
100195,184219,1991,m,EMEA,T5
100196,179552,1995,m,EMEA,T5
100197,132073,1993,m,APJ,T5
100198,174122,1998,m,APJ,T5
100199,190192,1995,m,EMEA,T5
100200,170663,1998,f,EMEA,T5
100201,157482,1995,m,EMEA,T5
100202,173053,1992,f,NA,T5
100203,132305,1999,f,NA,T5
100204,172444,1995,m,NA,T5
100205,125015,1999,f,APJ,T5
100206,117083,1993,m,EMEA,T5
100207,166804,1999,m,APJ,T5
100208,165818,1994,f,EMEA,T5
100209,143872,1998,f,APJ,T5
100210,180548,1988,f,NA,T5
100211,148308,1992,m,NA,T5
100212,162073,1994,m,EMEA,T5
100213,168855,1995,m,EMEA,T5
100214,167775,1993,f,EMEA,T5
100215,158835,1995,m,APJ,T5
100216,135173,1995,f,NA,T5
100217,148708,1988,f,NA,T5
100218,156980,1993,f,NA,T5
100219,173107,2000,m,APJ,T5
100220,166709,1997,f,EMEA,T5
100221,161152,2000,f,EMEA,T5
100222,128543,1993,m,APJ,T5
100223,160228,1997,f,NA,T5
100224,165901,1995,m,NA,T5
100225,142502,1992,f,NA,T5
100226,139024,1995,f,EMEA,T5
100227,131593,1992,f,EMEA,T5
100228,133990,1997,m,APJ,T5
100229,158750,1993,f,APJ,T5
100230,163214,1996,m,APJ,T5
100231,147775,1993,f,EMEA,T5
100232,186304,1995,m,APJ,T5
100233,164890,1994,f,NA,T5
100234,134245,1995,m,EMEA,T5
100235,161896,1994,m,APJ,T5
100236,169013,2001,f,EMEA,T5
100237,146090,1992,m,APJ,T5
100238,119252,1994,m,APJ,T5
100239,149861,1997,f,APJ,T5
100240,163232,1989,f,EMEA,T5
100241,143882,1995,m,APJ,T5
100242,170203,1991,f,NA,T5
100243,164078,1994,f,EMEA,T5
100244,162213,1996,f,APJ,T5
100245,196315,2001,m,APJ,T5
100246,165620,1995,m,EMEA,T5
100247,195663,1995,f,NA,T5
100248,116131,1993,f,NA,T5
100249,141733,1998,m,APJ,T5
100250,169629,1997,m,NA,T5
100251,139941,1997,m,APJ,T5
100252,140319,1995,f,EMEA,T5
100253,185464,1997,f,NA,T5
100254,163502,1997,m,EMEA,T5
100255,142467,1996,f,EMEA,T5
100256,156028,1997,f,NA,T5
100257,178504,1998,m,NA,T5
100258,152615,1997,f,EMEA,T5
100259,165413,1995,m,NA,T5
100260,141397,2000,m,EMEA,T5
100261,154735,1996,f,EMEA,T5
100262,164855,1992,f,EMEA,T5
100263,161101,1997,m,NA,T5
100264,180102,1999,m,NA,T5
100265,163491,1993,f,EMEA,T5
100266,136547,1989,f,APJ,T5
100267,164231,1993,f,EMEA,T5
100268,174168,1996,f,APJ,T5
100269,162644,1994,f,EMEA,T5
100270,153382,1994,f,APJ,T5
100271,181335,1997,m,APJ,T5
100272,187089,1996,m,EMEA,T5
100273,180685,1999,f,EMEA,T5
100274,165097,2000,f,APJ,T5
100275,121669,1996,f,APJ,T5
100276,154316,1994,m,EMEA,T5
100277,164900,1991,m,NA,T5
100278,130887,1998,m,APJ,T5
100279,148158,1997,m,APJ,T5
100280,187816,1991,f,EMEA,T5
100281,190069,1989,f,APJ,T5
100282,186552,1999,m,APJ,T5
100283,166854,1999,f,NA,T5
100284,155437,1993,m,EMEA,T5
100285,137718,1993,f,EMEA,T5
100286,128985,1997,m,EMEA,T5
100287,156291,1995,m,APJ,T5
100288,152794,1990,m,APJ,T5
100289,150925,1992,m,EMEA,T5
100290,168859,1991,f,APJ,T5
100291,150686,1999,f,NA,T5
100292,143687,1995,m,NA,T5
100293,152474,1994,m,NA,T5
100294,184830,1990,f,NA,T5
100295,159551,1988,f,NA,T5
100296,127244,1996,f,APJ,T5
100297,128800,2001,f,APJ,T5
100298,138950,1995,m,APJ,T5
100299,133155,1997,m,APJ,T5
100300,134480,1998,f,NA,T5
100301,152265,2002,f,APJ,T5
100302,117927,1993,f,NA,T5
100303,168540,1994,f,NA,T5
100304,163803,1992,f,NA,T5
100305,145800,1993,f,APJ,T5
100306,162780,2001,m,APJ,T5
100307,188987,1989,m,NA,T5
100308,155818,2001,m,APJ,T5
100309,174393,1994,m,APJ,T5
100310,176431,1994,f,EMEA,T5
100311,144444,1999,m,EMEA,T5
100312,153197,2000,f,NA,T5
100313,156858,1992,m,EMEA,T5
100314,173986,1993,f,NA,T5
100315,141794,1998,m,NA,T5
100316,171541,1993,f,EMEA,T5
100317,156858,1993,m,NA,T5
100318,164812,1997,f,NA,T5
100319,135633,1998,f,NA,T5
100320,138307,1989,m,APJ,T5
100321,147166,1995,f,NA,T5
100322,160295,1994,f,NA,T5
100323,143784,1997,m,NA,T5
100324,163715,1991,m,EMEA,T5
100325,137790,1994,m,APJ,T5
100326,185560,1998,f,EMEA,T5
100327,190874,1997,m,NA,T5
100328,152284,1996,m,APJ,T5
100329,155321,1995,m,APJ,T5
100330,152907,1992,f,APJ,T5
100331,180403,1992,m,EMEA,T5
100332,124719,1997,f,APJ,T5
100333,175075,1998,f,EMEA,T5
100334,153134,1996,m,EMEA,T5
100335,120532,2002,m,NA,T5
100336,133898,1990,f,APJ,T5
100337,174743,1998,f,APJ,T5
100338,145025,1992,f,APJ,T5
100339,143424,2001,m,EMEA,T5
100340,177825,1995,f,EMEA,T5
100341,184424,1995,m,NA,T5
100342,155438,1990,m,APJ,T5
100343,143624,1991,f,NA,T5
100344,162756,1994,f,EMEA,T5
100345,150722,1999,f,NA,T5
100346,167474,1995,m,EMEA,T5
100347,145186,1992,f,NA,T5
100348,184518,1994,m,EMEA,T5
100349,127362,1994,m,NA,T5
100350,185478,1994,f,APJ,T5
100351,153159,1991,m,EMEA,T5
100352,123551,2001,f,APJ,T5
100353,184520,1988,f,EMEA,T5
100354,133244,1991,m,EMEA,T5
100355,181221,1996,f,APJ,T5
100356,154710,2001,m,EMEA,T5
100357,148159,1991,f,NA,T5
100358,179689,1996,m,NA,T5
100359,133806,1999,m,EMEA,T5
100360,130694,1997,f,EMEA,T5
100361,166025,1998,m,EMEA,T5
100362,140223,1994,m,APJ,T5
100363,151486,1995,m,APJ,T5
100364,161656,1991,m,EMEA,T5
100365,190087,1999,m,APJ,T5
100366,136543,2000,f,NA,T5
100367,158759,1995,m,EMEA,T5
100368,140091,1997,f,NA,T5
100369,139302,1998,m,EMEA,T5
100370,159211,1999,f,APJ,T5
100371,172065,1998,m,APJ,T5
100372,142812,1998,m,NA,T5
100373,178170,1991,f,APJ,T5
100374,162082,1992,m,APJ,T5
100375,157217,1995,m,EMEA,T5
100376,140809,1992,f,APJ,T5
100377,136887,1992,f,NA,T5
100378,157968,2000,m,APJ,T5
100379,165219,1998,m,EMEA,T5
100380,143970,1996,f,NA,T5
100381,154729,1993,m,NA,T5
100382,127251,1994,m,NA,T5
100383,168195,1994,f,EMEA,T5
100384,151615,1991,f,APJ,T5
100385,133620,1996,f,EMEA,T5
100386,156942,1997,m,EMEA,T5
100387,139043,2000,m,APJ,T5
100388,167413,1998,m,APJ,T5
100389,128268,1995,m,NA,T5
100390,138892,1999,f,NA,T5
100391,149073,1991,f,EMEA,T5
100392,163696,1995,m,APJ,T5
100393,130856,1995,m,APJ,T5
100394,171876,1993,f,APJ,T5
100395,154248,1994,m,NA,T5
100396,150494,1997,f,EMEA,T5
100397,115842,1997,f,NA,T5
100398,168506,1991,f,NA,T5
100399,178211,1994,f,APJ,T5
100400,178380,1998,m,EMEA,T5
100401,157224,1995,f,EMEA,T5
100402,169200,1994,m,EMEA,T5
100403,140293,1998,f,NA,T5
100404,166474,1997,f,EMEA,T5
100405,175580,2000,m,NA,T5
100406,186683,1995,m,NA,T5
100407,138704,1998,f,EMEA,T5
100408,139485,1997,f,EMEA,T5
100409,180469,1996,f,APJ,T5
100410,149248,1995,f,NA,T5
100411,154335,1995,f,APJ,T5
100412,179153,1996,f,EMEA,T5
100413,148160,1995,m,APJ,T5
100414,157804,1989,f,EMEA,T5
100415,167388,1997,m,EMEA,T5
100416,151508,1999,f,APJ,T5
100417,150186,1997,m,EMEA,T5
100418,132393,1993,m,APJ,T5
100419,151353,1998,f,EMEA,T5
100420,141228,1993,f,EMEA,T5
100421,176415,1994,f,NA,T5
100422,149680,1993,m,EMEA,T5
100423,123624,1993,m,EMEA,T5
100424,174757,1999,f,EMEA,T5
100425,177664,1995,f,EMEA,T5
100426,156082,1992,m,APJ,T5
100427,142073,1989,m,EMEA,T5
100428,163290,1995,m,EMEA,T5
100429,131147,1997,f,NA,T5
100430,178566,1996,f,NA,T5
100431,136211,1994,m,EMEA,T5
100432,184642,1996,f,EMEA,T5
100433,145304,1997,m,EMEA,T5
100434,128726,1995,f,EMEA,T5
100435,135002,1989,m,NA,T5
100436,153673,1988,m,NA,T5
100437,159651,1996,f,APJ,T5
100438,162596,1994,m,EMEA,T5
100439,161434,1991,f,APJ,T5
100440,154185,1998,f,NA,T5
100441,135936,1997,f,APJ,T5
100442,144995,1997,m,NA,T5
100443,137594,2000,f,APJ,T5
100444,156947,1998,f,NA,T5
100445,164861,1997,f,APJ,T5
100446,144939,1994,f,NA,T5
100447,181874,1993,f,NA,T5
100448,155260,1995,m,EMEA,T5
100449,123945,1994,f,APJ,T5
100450,177364,2001,m,APJ,T5
100451,133540,1995,f,NA,T5
100452,159813,2001,m,NA,T5
100453,143620,1999,f,NA,T5
100454,161677,1998,f,EMEA,T5
100455,134793,1992,f,EMEA,T5
100456,158714,1994,f,NA,T5
100457,183420,1997,m,NA,T5
100458,179686,1990,m,APJ,T5
100459,114635,2001,m,APJ,T5
100460,182185,1997,m,EMEA,T5
100461,162712,1989,f,EMEA,T5
100462,168397,1996,m,NA,T5
100463,141756,1994,f,EMEA,T5
100464,142729,1994,m,APJ,T5
100465,169970,1998,m,NA,T5
100466,148065,1997,m,APJ,T5
100467,139195,1995,f,EMEA,T5
100468,180068,1997,m,APJ,T5
100469,153807,2000,f,APJ,T5
100470,125368,1992,m,APJ,T5
100471,179910,1991,f,APJ,T5
100472,124117,1993,m,NA,T5
100473,145093,1993,m,APJ,T5
100474,129046,1989,f,NA,T5
100475,161054,1996,m,NA,T5
100476,191001,1996,f,EMEA,T5
100477,183270,2000,m,NA,T5
100478,165006,1997,f,NA,T5
100479,157391,1993,f,APJ,T5
100480,143873,1997,f,EMEA,T5
100481,133191,1994,m,EMEA,T5
100482,137515,1998,f,APJ,T5
100483,124934,1995,m,EMEA,T5
100484,142693,1994,f,APJ,T5
100485,145645,1995,m,NA,T5
100486,149725,1994,m,NA,T5
100487,170712,1994,f,EMEA,T5
100488,133116,1993,m,APJ,T5
100489,185595,2001,f,NA,T5
100490,139070,1994,m,NA,T5
100491,150589,1996,f,APJ,T5
100492,155554,1998,m,EMEA,T5
100493,154588,2000,f,NA,T5
100494,138862,1997,m,APJ,T5
100495,145588,2001,m,APJ,T5
100496,157406,1997,m,APJ,T5
100497,177444,1989,f,EMEA,T5
100498,166760,1990,f,EMEA,T5
100499,174508,1993,f,EMEA,T5
100500,128685,1993,m,NA,T5
100501,153738,1997,m,EMEA,T5
100502,189941,1993,m,APJ,T5
100503,175176,1997,f,EMEA,T5
100504,148954,1993,m,NA,T5
100505,118922,1993,m,APJ,T5
100506,158014,1994,m,EMEA,T5
100507,158497,1990,f,APJ,T5
100508,160225,1994,f,EMEA,T5
100509,149959,1994,f,APJ,T5
100510,155616,1996,m,APJ,T5
100511,131415,1996,m,EMEA,T5
100512,139464,1991,f,NA,T5
100513,150332,1991,m,EMEA,T5
100514,157024,1995,m,NA,T5
100515,153088,1995,f,NA,T5
100516,162615,1992,m,EMEA,T5
100517,129122,1997,f,NA,T5
100518,163218,1994,m,EMEA,T5
100519,173766,1999,f,APJ,T5
100520,184351,1993,f,NA,T5
100521,135246,2001,f,EMEA,T5
100522,127764,1996,f,NA,T5
100523,179889,1993,f,APJ,T5
100524,168832,1993,f,EMEA,T5
100525,166475,1993,m,APJ,T5
100526,159317,1994,m,APJ,T5
100527,164409,1996,f,EMEA,T5
100528,139674,1994,m,NA,T5
100529,160122,1995,m,EMEA,T5
100530,129883,1996,f,APJ,T5
100531,174212,1994,m,EMEA,T5
100532,158560,1992,m,EMEA,T5
100533,160767,1994,m,NA,T5
100534,122748,1995,f,NA,T5
100535,146735,1993,f,NA,T5
100536,114982,1997,m,APJ,T5
100537,163651,1989,m,EMEA,T5
100538,150938,1995,m,APJ,T5
100539,169907,1995,f,NA,T5
100540,176182,1991,f,EMEA,T5
100541,133732,1995,m,NA,T5
100542,123853,1990,m,APJ,T5
100543,168893,1999,m,EMEA,T5
100544,150505,1996,m,NA,T5
100545,174540,1994,f,NA,T5
100546,150755,1995,m,NA,T5
100547,158072,1995,f,APJ,T5
100548,162767,2000,f,NA,T5
100549,130762,1999,m,EMEA,T5
100550,136513,1991,m,EMEA,T5
100551,157390,1994,m,NA,T5
100552,154015,1992,f,APJ,T5
100553,117732,2001,f,EMEA,T5
100554,159012,1991,m,NA,T5
100555,164138,1991,m,APJ,T5
100556,175924,1989,m,NA,T5
100557,171870,1997,f,EMEA,T5
100558,170573,1999,m,EMEA,T5
100559,150346,1997,f,NA,T5
100560,167017,2001,m,NA,T5
100561,156471,1993,m,NA,T5
100562,128072,1995,f,NA,T5
100563,149724,1997,f,APJ,T5
100564,145106,1993,m,EMEA,T5
100565,143970,1993,f,EMEA,T5
100566,144167,1991,f,EMEA,T5
100567,148217,1998,f,EMEA,T5
100568,177661,1996,f,NA,T5
100569,168273,1995,f,NA,T5
100570,117315,1997,m,APJ,T5
100571,146449,1990,f,NA,T5
100572,157241,1993,m,NA,T5
100573,177801,2000,m,EMEA,T5
100574,169151,1999,f,APJ,T5
100575,153956,1992,m,APJ,T5
100576,140875,1995,m,NA,T5
100577,138546,1997,m,EMEA,T5
100578,119227,1991,m,APJ,T5
100579,168117,1997,f,EMEA,T5
100580,185685,1994,f,APJ,T5
100581,135282,1992,m,APJ,T5
100582,152295,1994,m,EMEA,T5
100583,157849,1996,f,EMEA,T5
100584,173047,1994,f,EMEA,T5
100585,130496,1992,m,NA,T5
100586,193990,1998,m,APJ,T5
100587,193208,1989,m,APJ,T5
100588,155104,1996,m,NA,T5
100589,140069,1997,f,EMEA,T5
100590,148704,1993,f,APJ,T5
100591,151263,1994,m,APJ,T5
100592,147888,1995,f,NA,T5
100593,115234,1996,f,NA,T5
100594,147806,1998,m,EMEA,T5
100595,157521,1993,m,EMEA,T5
100596,192076,1996,f,EMEA,T5
100597,166818,1995,m,APJ,T5
100598,146747,1999,f,NA,T5
100599,165634,1993,m,EMEA,T5
100600,134381,1996,m,NA,T5
100601,133925,1995,f,EMEA,T5
100602,173775,2001,m,EMEA,T5
100603,190963,1997,f,EMEA,T5
100604,126394,1993,m,NA,T5
100605,147618,1999,m,APJ,T5
100606,151624,1989,f,APJ,T5
100607,158974,1996,f,NA,T5
100608,148683,1993,f,EMEA,T5
100609,152908,1994,m,EMEA,T5
100610,159161,1991,m,APJ,T5
100611,163139,2000,f,NA,T5
100612,174579,2000,f,APJ,T5
100613,164266,1997,m,NA,T5
100614,161562,2001,m,EMEA,T5
100615,185013,1994,f,EMEA,T5
100616,157491,1994,m,NA,T5
100617,162036,1990,m,EMEA,T5
100618,132851,1989,f,APJ,T5
100619,135789,1992,f,EMEA,T5
100620,164356,1990,m,APJ,T5
100621,130630,2000,m,APJ,T5
100622,131546,1994,f,EMEA,T5
100623,182736,2001,f,EMEA,T5
100624,152489,2001,f,NA,T5
100625,147842,1999,f,APJ,T5
100626,165263,1999,m,APJ,T5
100627,147401,1995,m,NA,T5
100628,129743,1988,m,APJ,T5
100629,177379,1998,f,NA,T5
100630,173813,1995,m,EMEA,T5
100631,148938,1995,m,APJ,T5
100632,152524,1996,f,EMEA,T5
100633,148996,1995,f,NA,T5
100634,164862,1999,f,NA,T5
100635,145460,1999,f,APJ,T5
100636,181761,1996,f,APJ,T5
100637,164909,1999,f,APJ,T5
100638,131692,1998,f,APJ,T5
100639,191936,1994,m,APJ,T5
100640,186804,2001,f,APJ,T5
100641,160451,1999,f,APJ,T5
100642,138491,1998,f,NA,T5
100643,152254,1990,m,APJ,T5
100644,152687,1994,m,APJ,T5
100645,146981,1992,m,NA,T5
100646,161271,1996,m,EMEA,T5
100647,163143,1998,m,NA,T5
100648,135705,1990,m,NA,T5
100649,135361,1996,f,EMEA,T5
100650,175505,1996,m,EMEA,T5
100651,162372,1995,f,EMEA,T5
100652,145077,1993,m,NA,T5
100653,152844,1996,m,APJ,T5
100654,162225,1995,m,EMEA,T5
100655,147597,1991,f,APJ,T5
100656,168054,2001,f,NA,T5
100657,151538,1997,m,NA,T5
100658,191336,1994,f,NA,T5
100659,169489,1989,m,NA,T5
100660,173361,1992,m,APJ,T5
100661,147250,1994,m,APJ,T5
100662,148997,1998,f,APJ,T5
100663,164822,1996,m,EMEA,T5
100664,158589,1993,f,NA,T5
100665,173165,1995,m,NA,T5
100666,140088,1993,f,APJ,T5
100667,164466,1991,m,APJ,T5
100668,135656,1995,f,NA,T5
100669,154162,1993,f,APJ,T5
100670,150207,1999,m,APJ,T5
100671,164146,1992,m,EMEA,T5
100672,120656,1989,f,APJ,T5
100673,166378,1991,m,NA,T5
100674,171598,1991,m,EMEA,T5
100675,172639,1999,f,APJ,T5
100676,140148,1997,f,APJ,T5
100677,147226,1995,m,EMEA,T5
100678,167200,2000,f,APJ,T5
100679,177111,2001,f,EMEA,T5
100680,111682,1995,m,EMEA,T5
100681,126179,1994,m,APJ,T5
100682,165394,1994,f,APJ,T5
100683,167105,1996,m,APJ,T5
100684,138860,1993,m,APJ,T5
100685,195363,1993,f,APJ,T5
100686,179871,1994,f,APJ,T5
100687,122699,1998,f,NA,T5
100688,142255,1993,f,NA,T5
100689,155239,1999,f,NA,T5
100690,181089,1995,m,APJ,T5
100691,167645,1992,f,NA,T5
100692,149782,2000,m,APJ,T5
100693,123041,1998,m,NA,T5
100694,150463,2000,f,NA,T5
100695,180366,1996,f,EMEA,T5
100696,154160,1999,f,APJ,T5
100697,154274,1993,m,EMEA,T5
100698,158458,1996,f,APJ,T5
100699,157230,1995,f,NA,T5
100700,165256,2000,m,APJ,T5
100701,131421,1995,f,EMEA,T5
100702,144259,1990,f,APJ,T5
100703,170632,1998,f,NA,T5
100704,189534,1998,m,EMEA,T5
100705,159165,2000,f,NA,T5
100706,154168,1995,m,APJ,T5
100707,157301,1994,m,NA,T5
100708,133230,1995,f,APJ,T5
100709,137399,1990,m,APJ,T5
100710,194249,1993,f,EMEA,T5
100711,141847,1994,m,NA,T5
100712,159895,1991,m,APJ,T5
100713,152706,1996,f,EMEA,T5
100714,167415,1995,m,APJ,T5
100715,137572,1995,m,APJ,T5
100716,113423,1993,m,EMEA,T5
100717,123995,1993,f,NA,T5
100718,166994,1990,m,NA,T5
100719,185194,1996,m,NA,T5
100720,142839,1995,m,EMEA,T5
100721,163172,1994,f,APJ,T5
100722,145400,1996,f,EMEA,T5
100723,136794,1995,f,NA,T5
100724,147176,1991,f,EMEA,T5
100725,128123,1998,m,EMEA,T5
100726,159988,1998,f,NA,T5
100727,166004,1999,m,EMEA,T5
100728,150363,1990,m,EMEA,T5
100729,124162,1997,f,NA,T5
100730,152438,1999,m,EMEA,T5
100731,154577,1993,m,EMEA,T5
100732,151020,1992,m,EMEA,T5
100733,112437,1992,f,NA,T5
100734,140161,1995,m,NA,T5
100735,145518,1996,f,EMEA,T5
100736,193631,1996,f,APJ,T5
100737,173837,1996,m,NA,T5
100738,164966,1989,f,APJ,T5
100739,172449,1998,f,APJ,T5
100740,165727,1998,f,NA,T5
100741,122614,1995,f,APJ,T5
100742,168709,1989,f,APJ,T5
100743,144687,1992,m,EMEA,T5
100744,157723,1997,m,NA,T5
100745,160880,1994,f,EMEA,T5
100746,159416,1993,f,EMEA,T5
100747,172686,1994,m,EMEA,T5
100748,146454,2001,m,NA,T5
100749,168853,1996,f,EMEA,T5
100750,145007,1995,m,EMEA,T5
100751,142707,1995,m,EMEA,T5
100752,180626,1996,f,NA,T5
100753,129768,2000,m,APJ,T5
100754,176082,1997,m,APJ,T5
100755,170119,1997,f,EMEA,T5
100756,154698,1995,f,EMEA,T5
100757,149761,1998,f,APJ,T5
100758,158324,1999,m,EMEA,T5
100759,156177,1998,f,EMEA,T5
100760,137150,1996,m,APJ,T5
100761,196509,1991,f,EMEA,T5
100762,165325,1993,m,APJ,T5
100763,146578,1993,f,APJ,T5
100764,155082,1993,m,EMEA,T5
100765,168626,1994,f,APJ,T5
100766,149979,1993,f,APJ,T5
100767,153665,1990,m,EMEA,T5
100768,162069,1997,f,APJ,T5
100769,150002,1996,f,APJ,T5
100770,172574,1994,m,EMEA,T5
100771,147231,1995,f,EMEA,T5
100772,181109,1990,m,EMEA,T5
