Product Name,Product Line,Product Category,City,Country,Region,Date,Manager,Quantity sold,Sales Revenue,Gross Margin,Discount,Customer Satisfaction,Number of Issues reported,Comments,Gross Margin Ratio,CountryLongitude,CountryLatitude,CityLongitude,CityLatitude
Jewelry,Accessories,Other,Alexandria,Egypt,Africa,2021-12-05,Gabriel Walton,600,1016,26,108.4,0.83,11,Other / unknown,0.03,29.88,26.5,29.91,31.21
Mini city,City Skirts,Bottomwear,Alexandria,Egypt,Africa,2021-10-21,Gabriel Walton,500,1493,299,139.3,0.88,11,Behaviour of personnel,0.2,29.88,26.5,29.91,31.21
Full length,City Skirts,Bottomwear,Alexandria,Egypt,Africa,2021-11-21,Gabriel Walton,800,1552,121,144.83,0.89,12,Behaviour of personnel,0.08,29.88,26.5,29.91,31.21
Long lounge pants,City Trousers,Bottomwear,Alexandria,Egypt,Africa,2021-10-06,Gabriel Walton,150,465,138,49.6,0.9,12,Item defect / bad quality,0.3,29.88,26.5,29.91,31.21
Bermudas,City Trousers,Bottomwear,Alexandria,Egypt,Africa,2021-12-29,Gabriel Walton,200,432,12,28.75,0.86,25,Customer service,0.03,29.88,26.5,29.91,31.21
Skirts,Dresses,Tops,Alexandria,Egypt,Africa,2021-12-24,Gabriel Walton,3350,13000,5730,1386.64,0.83,23,Item defect / bad quality,0.44,29.88,26.5,29.91,31.21
Evening wear,Dresses,Tops,Alexandria,Egypt,Africa,2021-10-21,Gabriel Walton,2100,7536,2975,502.35,0.95,17,Item not as described,0.39,29.88,26.5,29.91,31.21
Jewelry,Accessories,Other,Rome,Italy,Europe,2021-12-09,Don Wilson,250,647,325,5923.53,0.83,11,Item defect / bad quality,0.5,12.16,43.53,12.5,41.9
"Belts,bags,wallets",Accessories,Other,Milan,Italy,Europe,2021-10-04,Don Wilson,8500,34446,14367,2565.63,0.82,16,Item defect / bad quality,0.42,12.16,43.53,9.18,45.47
"Belts,bags,wallets",Accessories,Other,Rome,Italy,Europe,2021-10-02,Don Wilson,6100,24493,10214,1621.6,0.89,17,Price too high / competition,0.42,12.16,43.53,12.5,41.9
Samples,Accessories,Other,Milan,Italy,Europe,2021-10-26,Don Wilson,4300,11425,4499,103.32,0.82,16,Behaviour of personnel,0.39,12.16,43.53,9.18,45.47
"Hats,gloves,scarves",Accessories,Other,Milan,Italy,Europe,2021-12-31,Don Wilson,300,756,272,1539.95,0.9,25,Item not as described,0.36,12.16,43.53,9.18,45.47
Samples,Accessories,Other,Rome,Italy,Europe,2021-11-27,Don Wilson,7050,17030,5654,140.58,0.83,19,Behaviour of personnel,0.33,12.16,43.53,12.5,41.9
Lounge wear,Accessories,Other,Rome,Italy,Europe,2021-10-24,Don Wilson,1100,2771,435,114.6,0.93,14,Item defect / bad quality,0.16,12.16,43.53,12.5,41.9
Lounge wear,Accessories,Other,Milan,Italy,Europe,2021-12-08,Don Wilson,1600,3301,329,320.64,0.93,19,Item not as described,0.1,12.16,43.53,9.18,45.47
Hair accessories,Accessories,Other,Rome,Italy,Europe,2021-10-31,Don Wilson,900,2300,107,226.9,0.9,11,Behaviour of personnel,0.05,12.16,43.53,12.5,41.9
"Hats,gloves,scarves",Accessories,Other,Rome,Italy,Europe,2021-10-29,Don Wilson,300,488,138,13.02,0.9,16,Customer service,0.28,12.16,43.53,12.5,41.9
Jewelry,Accessories,Other,Milan,Italy,Europe,2021-11-05,Don Wilson,1250,1835,537,5008.8,0.88,16,Price too high / competition,0.29,12.16,43.53,9.18,45.47
"Hats,gloves,scarves",Accessories,Other,Sydney,Australia,Oceania,2021-11-04,Ed Young,150,405,242,17.71,0.83,11,Item defect / bad quality,0.6,134.36,-25.59,151.21,-33.87
"Belts,bags,wallets",Accessories,Other,Melbourne,Australia,Oceania,2021-10-12,Ed Young,7000,27433,11269,857.3,0.91,13,Price too high / competition,0.41,134.36,-25.59,144.97,-37.82
Samples,Accessories,Other,Sydney,Australia,Oceania,2021-10-21,Ed Young,1500,3752,1321,140.7,0.94,22,Item defect / bad quality,0.35,134.36,-25.59,151.21,-33.87
"Belts,bags,wallets",Accessories,Other,Sydney,Australia,Oceania,2021-11-18,Ed Young,3450,11635,4023,581.76,0.95,11,Price too high / competition,0.35,134.36,-25.59,151.21,-33.87
Samples,Accessories,Other,Melbourne,Australia,Oceania,2021-10-21,Ed Young,3800,9308,3218,523.62,0.93,21,Item not as described,0.35,134.36,-25.59,144.97,-37.82
Hair accessories,Accessories,Other,Sydney,Australia,Oceania,2021-12-25,Ed Young,900,2737,194,136.88,0.88,19,Price too high / competition,0.07,134.36,-25.59,151.21,-33.87
Jewelry,Accessories,Other,Melbourne,Australia,Oceania,2021-10-27,Ed Young,450,780,35,43.83,0.93,25,Behaviour of personnel,0.04,134.36,-25.59,144.97,-37.82
Lounge wear,Accessories,Other,Melbourne,Australia,Oceania,2021-11-09,Ed Young,2200,4434,123,277.2,0.87,24,Customer service,0.03,134.36,-25.59,144.97,-37.82
Lounge wear,Accessories,Other,Sydney,Australia,Oceania,2021-12-31,Ed Young,500,975,3,48.8,0.9,15,Customer service,0,134.36,-25.59,151.21,-33.87
"Hats,gloves,scarves",Accessories,Other,Melbourne,Australia,Oceania,2021-12-04,Ed Young,550,1040,164,58.5,0.89,22,Item defect / bad quality,0.16,134.36,-25.59,144.97,-37.82
Sweater dresses,Dresses,Tops,Alexandria,Egypt,Africa,2021-10-21,Gabriel Walton,700,1776,523,189.44,0.91,12,Other / unknown,0.29,29.88,26.5,29.91,31.21
Casual dresses,Dresses,Tops,Alexandria,Egypt,Africa,2021-10-27,Gabriel Walton,700,1605,330,106.95,0.92,15,Other / unknown,0.21,29.88,26.5,29.91,31.21
Fancy fabric,Jackets,Jackets & Coats,Alexandria,Egypt,Africa,2021-10-26,Gabriel Walton,150,654,305,52.32,0.91,20,Behaviour of personnel,0.47,29.88,26.5,29.91,31.21
Boatwear,Jackets,Jackets & Coats,Alexandria,Egypt,Africa,2021-10-31,Gabriel Walton,1700,6459,2964,688.96,0.86,24,Other / unknown,0.46,29.88,26.5,29.91,31.21
Outdoor,Jackets,Jackets & Coats,Alexandria,Egypt,Africa,2021-12-12,Gabriel Walton,750,1381,190,128.87,0.9,15,Customer service,0.14,29.88,26.5,29.91,31.21
Shirts,Leather,Other,Alexandria,Egypt,Africa,2021-10-30,Gabriel Walton,150,327,31,21.75,0.95,19,Price too high / competition,0.09,29.88,26.5,29.91,31.21
"Hats,gloves,scarves",Outerwear,Jackets & Coats,Alexandria,Egypt,Africa,2021-12-27,Gabriel Walton,100,130,25,13.84,0.94,21,Item not as described,0.19,29.88,26.5,29.91,31.21
Day wear,Outerwear,Jackets & Coats,Alexandria,Egypt,Africa,2021-10-19,Gabriel Walton,150,195,21,13,0.93,22,Other / unknown,0.11,29.88,26.5,29.91,31.21
Night wear,Outerwear,Jackets & Coats,Alexandria,Egypt,Africa,2021-10-01,Gabriel Walton,50,106,13,7.1,0.85,15,Item not as described,0.12,29.88,26.5,29.91,31.21
Dry wear,Overcoats,Jackets & Coats,Alexandria,Egypt,Africa,2021-12-14,Gabriel Walton,600,1141,150,121.76,0.81,13,Customer service,0.13,29.88,26.5,29.91,31.21
Long sleeve,Shirts,Tops,Alexandria,Egypt,Africa,2021-12-24,Gabriel Walton,2950,10721,4008,1143.52,0.86,22,Item defect / bad quality,0.37,29.88,26.5,29.91,31.21
2 Pocket shirts,Shirts,Tops,Alexandria,Egypt,Africa,2021-10-22,Gabriel Walton,4350,18798,6564,2506.4,0.82,21,Customer service,0.35,29.88,26.5,29.91,31.21
Short sleeve,Shirts,Tops,Alexandria,Egypt,Africa,2021-10-26,Gabriel Walton,2850,9963,2820,929.88,0.87,19,Other / unknown,0.28,29.88,26.5,29.91,31.21
Soft fabric,Sweaters,Sweaters,Alexandria,Egypt,Africa,2021-11-25,Gabriel Walton,9150,30761,12355,2460.84,0.83,24,Other / unknown,0.4,29.88,26.5,29.91,31.21
Turtleneck,Sweaters,Sweaters,Alexandria,Egypt,Africa,2021-10-17,Gabriel Walton,5450,13662,3517,910.8,0.83,12,Customer service,0.26,29.88,26.5,29.91,31.21
Cardigan,Sweaters,Sweaters,Alexandria,Egypt,Africa,2021-12-31,Gabriel Walton,450,779,128,51.9,0.82,19,Price too high / competition,0.16,29.88,26.5,29.91,31.21
T-Shirts,Sweat-T-Shirts,Sweaters,Alexandria,Egypt,Africa,2021-11-21,Gabriel Walton,52950,213205,90989,17056.38,0.85,19,Item defect / bad quality,0.43,29.88,26.5,29.91,31.21
Sweats,Sweat-T-Shirts,Sweaters,Alexandria,Egypt,Africa,2021-12-31,Gabriel Walton,3200,9868,3882,657.85,0.85,15,Other / unknown,0.39,29.88,26.5,29.91,31.21
Party pants,Trousers,Bottomwear,Alexandria,Egypt,Africa,2021-10-05,Gabriel Walton,1650,7511,3143,1001.5,0.93,24,Other / unknown,0.42,29.88,26.5,29.91,31.21
Jeans,Trousers,Bottomwear,Alexandria,Egypt,Africa,2021-10-05,Gabriel Walton,350,954,92,114.48,0.88,22,Behaviour of personnel,0.1,29.88,26.5,29.91,31.21
Lounge wear,Accessories,Other,Alexandria,Egypt,Africa,2021-08-26,Gabriel Walton,6500,21755,8100,2030.49,0.88,20,Item not as described,0.37,29.88,26.5,29.91,31.21
Samples,Accessories,Other,Alexandria,Egypt,Africa,2021-08-08,Gabriel Walton,14550,36719,13556,4895.9,0.93,21,Customer service,0.37,29.88,26.5,29.91,31.21
Hair accessories,Accessories,Other,Alexandria,Egypt,Africa,2021-08-31,Gabriel Walton,2100,9238,2915,862.19,0.81,13,Price too high / competition,0.32,29.88,26.5,29.91,31.21
Jewelry,Accessories,Other,Cairo,Egypt,Africa,2021-12-06,Gabriel Walton,150,335,168,40.14,0.91,11,Other / unknown,0.5,29.88,26.5,31.25,30.05
"Belts,bags,wallets",Accessories,Other,Cairo,Egypt,Africa,2021-12-20,Gabriel Walton,3150,12669,5283,1689.2,0.83,11,Customer service,0.42,29.88,26.5,31.25,30.05
"Belts,bags,wallets",Accessories,Other,Alexandria,Egypt,Africa,2021-07-08,Gabriel Walton,4700,14046,4047,1872.7,0.85,24,Item defect / bad quality,0.29,29.88,26.5,29.91,31.21
Jewelry,Accessories,Other,Alexandria,Egypt,Africa,2021-07-05,Gabriel Walton,1650,4008,555,320.64,0.82,17,Item defect / bad quality,0.14,29.88,26.5,29.91,31.21
Samples,Accessories,Other,Cairo,Egypt,Africa,2021-10-30,Gabriel Walton,3650,8809,2925,704.7,0.81,23,Item defect / bad quality,0.33,29.88,26.5,31.25,30.05
Lounge wear,Accessories,Other,Cairo,Egypt,Africa,2021-11-04,Gabriel Walton,600,1434,225,191.1,0.87,19,Item not as described,0.16,29.88,26.5,31.25,30.05
"Hats,gloves,scarves",Accessories,Other,Alexandria,Egypt,Africa,2021-09-21,Gabriel Walton,300,614,78,57.33,0.86,20,Customer service,0.13,29.88,26.5,29.91,31.21
Mini city,City Skirts,Bottomwear,Alexandria,Egypt,Africa,2021-09-25,Gabriel Walton,2250,7977,2649,744.52,0.94,21,Item not as described,0.33,29.88,26.5,29.91,31.21
Full length,City Skirts,Bottomwear,Alexandria,Egypt,Africa,2021-09-08,Gabriel Walton,1400,3920,802,365.82,0.81,11,Customer service,0.2,29.88,26.5,29.91,31.21
Long lounge pants,City Trousers,Bottomwear,Alexandria,Egypt,Africa,2021-08-13,Gabriel Walton,900,3352,1366,402.3,0.82,14,Other / unknown,0.41,29.88,26.5,29.91,31.21
Hair accessories,Accessories,Other,Cairo,Egypt,Africa,2021-12-31,Gabriel Walton,450,1190,56,142.74,0.92,24,Behaviour of personnel,0.05,29.88,26.5,31.25,30.05
"Hats,gloves,scarves",Accessories,Other,Cairo,Egypt,Africa,2021-10-16,Gabriel Walton,150,253,71,16.85,0.81,15,Customer service,0.28,29.88,26.5,31.25,30.05
"Belts,bags,wallets",Accessories,Other,Sao Paulo,Brasil,South America,2021-12-27,Gary Dumin,3550,14254,5945,1579.4,0.84,23,Other / unknown,0.42,-53.07,-10.77,-46.65,-23.56
"Belts,bags,wallets",Accessories,Other,Rio de Janeiro,Brasil,South America,2021-12-24,Gary Dumin,3500,13717,5635,1548.1,0.95,22,Other / unknown,0.41,-53.07,-10.77,-43.19,-22.98
Samples,Accessories,Other,Sao Paulo,Brasil,South America,2021-11-28,Gary Dumin,1800,4728,1862,136.22,0.81,14,Item defect / bad quality,0.39,-53.07,-10.77,-46.65,-23.56
"Hats,gloves,scarves",Accessories,Other,Sao Paulo,Brasil,South America,2021-12-12,Gary Dumin,150,313,113,546.36,0.82,22,Item defect / bad quality,0.36,-53.07,-10.77,-46.65,-23.56
Samples,Accessories,Other,Rio de Janeiro,Brasil,South America,2021-11-06,Gary Dumin,1900,4654,1609,8173.52,0.81,24,Item defect / bad quality,0.35,-53.07,-10.77,-43.19,-22.98
Lounge wear,Accessories,Other,Sao Paulo,Brasil,South America,2021-12-02,Gary Dumin,700,1366,136,282.65,0.81,13,Price too high / competition,0.1,-53.07,-10.77,-46.65,-23.56
Jewelry,Accessories,Other,Rio de Janeiro,Brasil,South America,2021-10-02,Gary Dumin,250,390,18,32.32,0.89,25,Customer service,0.05,-53.07,-10.77,-43.19,-22.98
Lounge wear,Accessories,Other,Rio de Janeiro,Brasil,South America,2021-10-10,Gary Dumin,1100,2217,62,227.16,0.81,21,Price too high / competition,0.03,-53.07,-10.77,-43.19,-22.98
"Hats,gloves,scarves",Accessories,Other,Rio de Janeiro,Brasil,South America,2021-10-03,Gary Dumin,300,520,82,35.46,0.9,15,Item not as described,0.16,-53.07,-10.77,-43.19,-22.98
Jewelry,Accessories,Other,Sao Paulo,Brasil,South America,2021-12-17,Gary Dumin,550,759,222,13.8,0.85,13,Customer service,0.29,-53.07,-10.77,-46.65,-23.56
Bermudas,City Trousers,Bottomwear,Alexandria,Egypt,Africa,2021-07-09,Gabriel Walton,300,652,23,43.45,0.83,18,Behaviour of personnel,0.04,29.88,26.5,29.91,31.21
Skirts,Dresses,Tops,Alexandria,Egypt,Africa,2021-08-29,Gabriel Walton,8450,24158,10157,1932.6,0.81,12,Price too high / competition,0.42,29.88,26.5,29.91,31.21
Evening wear,Dresses,Tops,Alexandria,Egypt,Africa,2021-09-30,Gabriel Walton,4150,11901,4343,1428.12,0.83,22,Price too high / competition,0.36,29.88,26.5,29.91,31.21
Casual dresses,Dresses,Tops,Alexandria,Egypt,Africa,2021-09-20,Gabriel Walton,4300,12428,4473,828.55,0.82,16,Customer service,0.36,29.88,26.5,29.91,31.21
Sweater dresses,Dresses,Tops,Alexandria,Egypt,Africa,2021-07-24,Gabriel Walton,4500,11072,3079,885.78,0.87,24,Item defect / bad quality,0.28,29.88,26.5,29.91,31.21
"Belts,bags,wallets",Accessories,Other,Miami,USA,North America,2021-12-17,James Frank,2650,1656,1622.88,2079.38,0.9,21,Price too high / competition,0.98,-98.99,39.5,-80.24,25.73
"Belts,bags,wallets",Accessories,Other,Houston,USA,North America,2021-12-31,James Frank,6200,111.75,111.17,7601.1,0.82,11,Customer service,0.99,-98.99,39.5,-95.37,29.76
Hair accessories,Accessories,Other,Dallas,USA,North America,2021-10-04,James Frank,750,3079.5,1411.31,741.33,0.95,20,Customer service,0.46,-98.99,39.5,-96.8,32.78
"Hats,gloves,scarves",Accessories,Other,Austin,USA,North America,2021-12-29,James Frank,200,1878.75,842.62,74.48,0.93,24,Behaviour of personnel,0.45,-98.99,39.5,-97.74,30.27
"Hats,gloves,scarves",Accessories,Other,Miami,USA,North America,2021-10-24,James Frank,150,536.25,224.44,78.86,0.86,21,Item defect / bad quality,0.42,-98.99,39.5,-80.24,25.73
"Hats,gloves,scarves",Accessories,Other,Dallas,USA,North America,2021-11-29,James Frank,100,118.5,42.19,70.3,0.82,18,Customer service,0.36,-98.99,39.5,-96.8,32.78
"Hats,gloves,scarves",Accessories,Other,Houston,USA,North America,2021-12-11,James Frank,700,25073.25,8823.38,5000,0.82,11,Customer service,0.35,-98.99,39.5,-95.37,29.76
Jewelry,Accessories,Other,Austin,USA,North America,2021-12-01,James Frank,150,446,142.35,104.36,0.9,21,Customer service,0.32,-98.99,39.5,-97.74,30.27
Hair accessories,Accessories,Other,Houston,USA,North America,2021-10-27,James Frank,800,8296.5,2122.88,706.8,0.85,21,Item defect / bad quality,0.26,-98.99,39.5,-95.37,29.76
Samples,Accessories,Other,Houston,USA,North America,2021-12-31,James Frank,6150,15874,3893.87,3301.79,0.85,23,Item defect / bad quality,0.25,-98.99,39.5,-95.37,29.76
Samples,Accessories,Other,Austin,USA,North America,2021-11-18,James Frank,4850,11745,2641.82,2595.64,0.81,16,Behaviour of personnel,0.22,-98.99,39.5,-97.74,30.27
Samples,Accessories,Other,Dallas,USA,North America,2021-12-07,James Frank,1250,3127,698.65,1016.27,0.83,12,Item not as described,0.22,-98.99,39.5,-96.8,32.78
Hair accessories,Accessories,Other,Miami,USA,North America,2021-11-29,James Frank,250,894.75,170.44,180.34,0.86,19,Item defect / bad quality,0.19,-98.99,39.5,-80.24,25.73
Hair accessories,Accessories,Other,Austin,USA,North America,2021-10-19,James Frank,600,12995.25,2357.44,494.83,0.83,20,Item not as described,0.18,-98.99,39.5,-97.74,30.27
Samples,Accessories,Other,Miami,USA,North America,2021-12-26,James Frank,2500,5915,867.59,1461.01,0.91,13,Item not as described,0.15,-98.99,39.5,-80.24,25.73
"Belts,bags,wallets",Accessories,Other,Dallas,USA,North America,2021-10-26,James Frank,2850,3510.75,370.4,2773.06,0.89,12,Customer service,0.11,-98.99,39.5,-96.8,32.78
Lounge wear,Accessories,Other,Austin,USA,North America,2021-12-09,James Frank,750,1911,191.1,372.64,0.95,21,Item defect / bad quality,0.1,-98.99,39.5,-97.74,30.27
Lounge wear,Accessories,Other,Houston,USA,North America,2021-12-07,James Frank,1400,3178,211.98,908.91,0.84,11,Other / unknown,0.07,-98.99,39.5,-95.37,29.76
Jewelry,Accessories,Other,Miami,USA,North America,2021-12-23,James Frank,200,368,8.32,71.76,0.82,18,Item defect / bad quality,0.02,-98.99,39.5,-80.24,25.73
"Belts,bags,wallets",Accessories,Other,Austin,USA,North America,2021-12-20,James Frank,4200,10671,83.14,6733.13,0.82,18,Price too high / competition,0.01,-98.99,39.5,-97.74,30.27
Lounge wear,Accessories,Other,Dallas,USA,North America,2021-11-27,James Frank,400,813,1.08,211.38,0.94,20,Other / unknown,0,-98.99,39.5,-96.8,32.78
Jewelry,Accessories,Other,Houston,USA,North America,2021-10-13,James Frank,750,1355,21.85,317.07,0.86,18,Customer service,0.02,-98.99,39.5,-95.37,29.76
Lounge wear,Accessories,Other,Miami,USA,North America,2021-12-12,James Frank,250,433,9.01,118.21,0.87,11,Other / unknown,0.02,-98.99,39.5,-80.24,25.73
Fancy fabric,Jackets,Jackets & Coats,Alexandria,Egypt,Africa,2021-07-18,Gabriel Walton,1800,6093,2903,568.68,0.89,21,Item not as described,0.48,29.88,26.5,29.91,31.21
Boatwear,Jackets,Jackets & Coats,Alexandria,Egypt,Africa,2021-08-04,Gabriel Walton,750,1935,778,206.4,0.88,25,Customer service,0.4,29.88,26.5,29.91,31.21
Outdoor,Jackets,Jackets & Coats,Alexandria,Egypt,Africa,2021-07-28,Gabriel Walton,600,2172,680,231.68,0.93,19,Behaviour of personnel,0.31,29.88,26.5,29.91,31.21
Shirts,Leather,Other,Alexandria,Egypt,Africa,2021-09-30,Gabriel Walton,300,1209,364,145.08,0.94,23,Other / unknown,0.3,29.88,26.5,29.91,31.21
Night wear,Outerwear,Jackets & Coats,Alexandria,Egypt,Africa,2021-08-03,Gabriel Walton,150,483,112,57.87,0.87,14,Price too high / competition,0.23,29.88,26.5,29.91,31.21
Day wear,Outerwear,Jackets & Coats,Alexandria,Egypt,Africa,2021-08-06,Gabriel Walton,150,178,19,11.85,0.86,23,Customer service,0.11,29.88,26.5,29.91,31.21
Wet wear,Overcoats,Jackets & Coats,Alexandria,Egypt,Africa,2021-07-21,Gabriel Walton,200,760,262,81.12,0.82,20,Other / unknown,0.34,29.88,26.5,29.91,31.21
Dry wear,Overcoats,Jackets & Coats,Alexandria,Egypt,Africa,2021-09-25,Gabriel Walton,700,1908,300,254.3,0.89,20,Behaviour of personnel,0.16,29.88,26.5,29.91,31.21
Long sleeve,Shirts,Tops,Alexandria,Egypt,Africa,2021-09-26,Gabriel Walton,4000,11643,3688,1241.84,0.85,21,Other / unknown,0.32,29.88,26.5,29.91,31.21
Short sleeve,Shirts,Tops,Alexandria,Egypt,Africa,2021-07-28,Gabriel Walton,3300,10803,3208,1008.28,0.91,11,Item defect / bad quality,0.3,29.88,26.5,29.91,31.21
2 Pocket shirts,Shirts,Tops,Alexandria,Egypt,Africa,2021-07-01,Gabriel Walton,4850,16417,3648,1532.23,0.9,18,Behaviour of personnel,0.22,29.88,26.5,29.91,31.21
Turtleneck,Sweaters,Sweaters,Alexandria,Egypt,Africa,2021-08-14,Gabriel Walton,12650,33817,11650,2254.5,0.94,24,Behaviour of personnel,0.34,29.88,26.5,29.91,31.21
"Belts,bags,wallets",Accessories,Other,London,United Kingdom,Europe,2021-12-29,John Minker,19950,79206,32620,6555,0.89,12,Item defect / bad quality,0.41,-2.52,53.93,-0.13,51.51
"Belts,bags,wallets",Accessories,Other,Liverpool,United Kingdom,Europe,2021-12-05,John Minker,4600,17525,6965,1095.3,0.83,19,Behaviour of personnel,0.4,-2.52,53.93,-2.98,53.41
Samples,Accessories,Other,London,United Kingdom,Europe,2021-11-30,John Minker,14250,36638,13387,178.9,0.82,23,Item defect / bad quality,0.37,-2.52,53.93,-0.13,51.51
Samples,Accessories,Other,Liverpool,United Kingdom,Europe,2021-11-20,John Minker,2350,5508,1875,344.2,0.91,18,Item defect / bad quality,0.34,-2.52,53.93,-2.98,53.41
"Hats,gloves,scarves",Accessories,Other,London,United Kingdom,Europe,2021-11-28,John Minker,1350,3132,648,1734.57,0.88,25,Other / unknown,0.21,-2.52,53.93,-0.13,51.51
"Hats,gloves,scarves",Accessories,Other,Liverpool,United Kingdom,Europe,2021-11-16,John Minker,200,404,72,20.24,0.92,18,Behaviour of personnel,0.18,-2.52,53.93,-2.98,53.41
Lounge wear,Accessories,Other,London,United Kingdom,Europe,2021-12-18,John Minker,3000,7414,1042,388.08,0.85,22,Item not as described,0.14,-2.52,53.93,-0.13,51.51
Jewelry,Accessories,Other,Liverpool,United Kingdom,Europe,2021-10-31,John Minker,400,623,47,23.4,0.85,13,Behaviour of personnel,0.08,-2.52,53.93,-2.98,53.41
Hair accessories,Accessories,Other,London,United Kingdom,Europe,2021-11-23,John Minker,1900,5393,275,273.78,0.93,14,Item not as described,0.05,-2.52,53.93,-0.13,51.51
Lounge wear,Accessories,Other,Liverpool,United Kingdom,Europe,2021-10-18,John Minker,900,1689,18,73.92,0.91,11,Customer service,0.01,-2.52,53.93,-2.98,53.41
Hair accessories,Accessories,Other,Liverpool,United Kingdom,Europe,2021-10-23,John Minker,250,692,9,21.65,0.83,24,Behaviour of personnel,0.01,-2.52,53.93,-2.98,53.41
Jewelry,Accessories,Other,London,United Kingdom,Europe,2021-11-13,John Minker,1400,2558,111,7380.09,0.83,12,Price too high / competition,0.04,-2.52,53.93,-0.13,51.51
"Hats,gloves,scarves",Accessories,Other,Lisbon,Portugal,Europe,2021-12-13,Julie Jones,150,490,292,3368.54,0.95,20,Behaviour of personnel,0.6,-7.97,39.68,-9.15,38.73
Samples,Accessories,Other,Lisbon,Portugal,Europe,2021-12-14,Julie Jones,1850,4534,1596,293.68,0.95,12,Item not as described,0.35,-7.97,39.68,-9.15,38.73
"Belts,bags,wallets",Accessories,Other,Lisbon,Portugal,Europe,2021-12-31,Julie Jones,4150,14059,4861,581.75,0.85,24,Customer service,0.35,-7.97,39.68,-9.15,38.73
Hair accessories,Accessories,Other,Lisbon,Portugal,Europe,2021-12-02,Julie Jones,1100,3307,234,942.1,0.85,13,Other / unknown,0.07,-7.97,39.68,-9.15,38.73
Lounge wear,Accessories,Other,Lisbon,Portugal,Europe,2021-12-26,Julie Jones,600,1179,3,676.89,0.83,25,Other / unknown,0,-7.97,39.68,-9.15,38.73
"Belts,bags,wallets",Accessories,Other,Mumbai,India,Asia,2021-12-29,Kiran Raj,16500,65550,26996,2867.83,0.94,16,Behaviour of personnel,0.41,79.41,23.36,72.83,18.93
"Belts,bags,wallets",Accessories,Other,Delhi,India,Asia,2021-10-11,Kiran Raj,7450,28066,10961,1754.1,0.93,13,Price too high / competition,0.39,79.41,23.36,77.22,28.64
