target,text
compliment,"... (Gate agent) at ... is an amazing employee. Very kind, thoughtful and attentive! Definitely should be recognized!"
compliment,Shout out to  for always having amazing flight attendants. Had such a comfortable trip today ... always flying #...
compliment,Your gate agent just livened up the whole terminal by pulling off two cartwheels (safely)! Kudos to her!
compliment,"CONGRATULATIONS! #... was the number one ... major airline for on-time performance in ..., even with several weather events"
compliment,deserves a shout out for taking care of an urgent flight change for me. #thankyou
compliment,I was on ... from ... to ... this afternoon and the flight crew was the best in the business.
compliment,Booked my annual flight to ... for  #... only $... thanks to  ... Rewards
compliment,should send a thank you card to  customer service rep that gave me final push I needed to change airlines
compliment,compensation received and matter closed. Thanks for 'finally' taking care of us
compliment,the flight crew on flight ... out of ... this morning was awesome! ...
compliment,I recently started battling uncontrolled seizures.  just gave me a full credit for a flight no questions asked. Customer for life.
compliment,has a ...-inspired safety video that is really awesome.
compliment,Amazing lunch   &amp; in the desert     #.... 
compliment,"...k spent. Looking beyond #.... Thank you for all the good times,  "
compliment,Six legs in ... hours. Well on my way to status. Thanks  #...
compliment,"This is amazing,  and "
compliment,Thanks to the hard working employees and volunteers of  and to title sponsor  for an amazing half marathon. Incredible job!
compliment,Hi  - you've been so helpful ...  I sent a direct msg looking for help with/ a question.  Thanks!
compliment,Thanks to ... who was so helpful on the phone this morning!
compliment,Thank you! #... team is throwing me a party. Check it out. 
compliment,FINALLY reuinited w/ luggage all thanks to ... in ur baggage claims call center. Promote her!
compliment,Thank you   Full rows from ... to .... 
compliment,I would just like to say that your rep ... in  #... was very helpful a Credit to you!
compliment,- cancelled flight this morning from ... to ... due to weather. Your people handled it very well. Thanks! #...
compliment,"Shout out to  for helping me resolve a tricky problem. They were fast friendly and efficient. Kudos, guys!"
compliment,Awesome! ...  Flight ... let me in the cockpit! 
compliment,...  is the best! Thanks for making our flight #... awesome! ... air at its best :)
compliment,thank you for the congratulatory shoutout and getting us to and from nationals safely!
compliment,"Great job by the crew on board ... ...-... today. Safe, comfortable ride."
compliment,Thank you  for another great flight... To #... today 
compliment,"how about having the flight attendants help manage overhead...no room for bags due to costs, purses, an literally a hat box..thanks"
compliment,lovely biography on your account by the way really putting customers first #....
compliment,Great crew on the way home to ... and getting a nice look at the Earth on #.... Thanks
compliment,Amazing crew on  today!!! They are fantastic!
compliment,shout out to ground crew at ...! Rebooked to diff flight b/c of delay. W/ ...min notice still got bag on right flight!
compliment,Thank you ...... customer service representative. Now I can enjoy my birthday without worry-free.
compliment,Thanks  wifi so I can watch the ....
compliment,"a huge thank you to the crew from ... to ... dealt with a medical emergency that lasted entire flight, service still great :)"
compliment,Amazing Fireworks   
compliment,and thank you  for the generous vouchers from this delay
compliment,Thank you  for getting ... back on-time to  in time to get me to 
compliment,"Best ever in flight safety demo  . Top marks to the marketing team, superb"
compliment,Thanks to ...  ... I got an aisle seat for my redeye tonight. #grateful #...
compliment,I've had the best experience with .... They are AWESOME!! :)
compliment,Thanks  I didn't like that luggage anyway 
compliment,Thx for making our flight ( my mom's 1st ever) enjoyable!! .... Cant wait to fly ... again!
compliment,Had a great trip yesterday morning ...-.... Smooth flight and slept most of it. Thx!
compliment,From my flight attendant today Thanks for flying with us. We appreciate ...% of you. Have a great day! #...
